I II III aVR aVL aVF V1 V2 AO SPO2
0.024 0.039 0.010 -0.029 0.005 0.027 -0.022 100.800 102.600 4.630 
0.012 0.024 0.007 -0.015 -0.000 0.020 -0.015 100.400 102.000 4.630 
0.010 0.017 0.005 -0.012 0.002 0.012 -0.010 100.000 101.600 4.630 
0.010 0.032 0.022 -0.020 -0.005 0.027 -0.017 99.400 100.800 4.615 
-0.000 0.007 0.002 -0.000 -0.002 0.007 -0.002 99.000 100.200 4.601 
0.005 0.005 -0.005 -0.002 0.002 0.002 -0.005 98.400 99.400 4.586 
-0.002 -0.007 -0.007 0.007 0.002 -0.005 0.002 97.800 98.600 4.571 
0.005 -0.002 -0.010 -0.000 0.007 -0.005 -0.002 97.000 97.800 4.547 
-0.007 -0.005 -0.002 0.010 -0.005 -0.000 0.005 96.200 96.800 4.523 
-0.010 0.007 0.020 -0.000 -0.012 0.012 -0.002 95.400 96.000 4.498 
-0.007 0.024 0.032 -0.007 -0.020 0.029 -0.005 94.400 95.200 4.474 
0.007 0.002 -0.002 -0.005 0.007 -0.000 -0.005 93.800 94.400 4.435 
-0.005 -0.012 -0.010 0.010 0.002 -0.010 0.005 93.000 93.600 4.396 
-0.015 0.029 0.037 -0.002 -0.029 0.037 -0.007 92.800 93.000 4.357 
-0.012 0.022 0.029 -0.002 -0.022 0.029 -0.002 92.400 92.400 4.317 
-0.002 -0.007 -0.007 0.007 0.002 -0.005 -0.000 92.400 91.800 4.283 
-0.000 0.020 0.017 -0.007 -0.010 0.020 -0.007 92.400 91.200 4.249 
-0.005 0.022 0.022 -0.005 -0.015 0.024 -0.007 92.400 90.600 4.215 
0.002 0.024 0.022 -0.012 -0.010 0.024 -0.010 92.200 90.000 4.181 
0.005 0.037 0.027 -0.017 -0.012 0.034 -0.017 91.800 89.800 4.147 
-0.005 0.017 0.017 -0.002 -0.012 0.020 -0.005 91.400 89.400 4.112 
0.012 0.022 0.002 -0.012 0.002 0.017 -0.015 90.600 89.000 4.078 
0.027 0.051 0.015 -0.034 0.002 0.039 -0.027 90.000 88.800 4.044 
0.049 0.085 0.032 -0.063 0.007 0.061 -0.046 89.400 88.600 4.015 
0.068 0.112 0.039 -0.088 0.012 0.078 -0.061 88.600 88.200 3.985 
0.076 0.142 0.056 -0.103 0.005 0.105 -0.076 88.200 88.000 3.956 
0.093 0.166 0.071 -0.127 0.010 0.120 -0.085 87.800 87.800 3.927 
0.088 0.190 0.098 -0.137 -0.007 0.147 -0.095 87.600 87.600 3.907 
0.107 0.266 0.156 -0.186 -0.024 0.212 -0.125 87.400 87.400 3.888 
0.103 0.310 0.208 -0.205 -0.051 0.259 -0.139 87.200 87.000 3.868 
0.120 0.357 0.230 -0.234 -0.059 0.298 -0.159 87.200 86.600 3.849 
0.144 0.440 0.291 -0.288 -0.076 0.369 -0.198 86.800 86.200 3.829 
0.156 0.491 0.335 -0.322 -0.088 0.413 -0.215 86.600 85.800 3.810 
0.171 0.508 0.337 -0.339 -0.083 0.422 -0.230 86.200 85.400 3.790 
0.164 0.462 0.298 -0.313 -0.066 0.381 -0.208 85.800 85.000 3.770 
0.149 0.442 0.288 -0.293 -0.071 0.369 -0.200 85.400 84.600 3.751 
0.149 0.440 0.286 -0.291 -0.071 0.366 -0.195 85.000 84.200 3.731 
0.159 0.466 0.308 -0.313 -0.073 0.388 -0.210 84.600 83.800 3.712 
0.188 0.462 0.276 -0.325 -0.042 0.369 -0.217 84.200 83.400 3.692 
0.205 0.469 0.259 -0.335 -0.029 0.366 -0.227 84.000 83.200 3.673 
0.227 0.488 0.254 -0.354 -0.017 0.376 -0.239 83.600 82.800 3.653 
0.247 0.491 0.242 -0.366 0.002 0.369 -0.249 83.400 82.400 3.634 
0.237 0.493 0.249 -0.361 -0.010 0.376 -0.244 83.200 82.200 3.614 
0.230 0.447 0.217 -0.337 0.007 0.332 -0.227 83.000 82.000 3.595 
0.217 0.357 0.132 -0.283 0.039 0.249 -0.190 82.600 81.600 3.575 
0.203 0.305 0.103 -0.254 0.051 0.205 -0.171 82.400 81.400 3.556 
0.171 0.249 0.076 -0.208 0.046 0.164 -0.139 82.200 81.200 3.536 
0.122 0.171 0.042 -0.142 0.037 0.110 -0.100 82.000 81.200 3.521 
0.103 0.188 0.076 -0.139 0.010 0.137 -0.098 81.800 81.000 3.507 
0.076 0.203 0.125 -0.137 -0.024 0.166 -0.095 81.600 80.800 3.492 
0.071 0.190 0.120 -0.129 -0.024 0.156 -0.088 81.400 80.600 3.477 
0.078 0.161 0.078 -0.117 -0.002 0.122 -0.083 81.200 80.400 3.458 
0.088 0.161 0.068 -0.122 0.007 0.117 -0.083 81.000 80.200 3.438 
0.090 0.125 0.029 -0.105 0.029 0.081 -0.073 80.600 80.000 3.419 
0.090 0.061 -0.046 -0.066 0.061 0.017 -0.051 80.400 79.600 3.399 
0.093 -0.005 -0.100 -0.042 0.095 -0.051 -0.032 80.000 79.400 3.385 
0.081 -0.002 -0.083 -0.039 0.083 -0.042 -0.027 79.400 79.000 3.370 
0.046 0.002 -0.046 -0.022 0.046 -0.020 -0.020 79.000 78.600 3.355 
0.024 -0.020 -0.042 -0.002 0.034 -0.032 -0.002 78.600 78.200 3.341 
-0.000 -0.037 -0.039 0.020 0.020 -0.037 0.010 78.200 78.000 3.326 
-0.017 -0.037 -0.024 0.029 0.002 -0.027 0.017 77.800 77.600 3.311 
-0.020 -0.039 -0.020 0.029 -0.000 -0.029 0.017 77.600 77.400 3.297 
-0.024 -0.073 -0.056 0.054 0.012 -0.061 0.032 77.400 77.200 3.282 
-0.024 -0.095 -0.078 0.063 0.024 -0.083 0.037 77.400 77.000 3.263 
-0.024 -0.078 -0.054 0.051 0.015 -0.066 0.034 77.200 76.600 3.243 
-0.024 -0.098 -0.076 0.063 0.024 -0.085 0.039 77.200 76.400 3.223 
-0.020 -0.110 -0.100 0.071 0.037 -0.100 0.044 77.200 76.200 3.204 
-0.022 -0.122 -0.105 0.076 0.039 -0.110 0.046 77.000 75.800 3.184 
-0.020 -0.071 -0.051 0.046 0.017 -0.061 0.029 76.800 75.600 3.165 
-0.015 -0.054 -0.042 0.037 0.012 -0.046 0.020 76.600 75.400 3.145 
-0.015 -0.066 -0.051 0.042 0.020 -0.059 0.027 76.200 75.200 3.126 
-0.012 -0.059 -0.049 0.037 0.017 -0.051 0.022 75.800 75.000 3.101 
-0.024 -0.046 -0.024 0.037 -0.000 -0.034 0.024 75.200 74.800 3.077 
-0.020 -0.073 -0.054 0.046 0.017 -0.063 0.029 75.000 74.600 3.053 
-0.015 -0.066 -0.059 0.044 0.020 -0.059 0.027 74.600 74.400 3.028 
-0.017 -0.061 -0.046 0.042 0.015 -0.051 0.024 74.400 74.200 3.004 
-0.012 -0.054 -0.042 0.034 0.015 -0.046 0.022 74.200 74.200 2.979 
-0.012 -0.051 -0.039 0.032 0.015 -0.044 0.020 74.200 74.200 2.955 
-0.012 -0.039 -0.032 0.029 0.007 -0.032 0.017 74.200 74.000 2.930 
-0.017 -0.044 -0.032 0.034 0.005 -0.034 0.017 74.400 74.000 2.911 
