I II III aVR aVL aVF V1 AO LV SPO2
-0.015 0.012 0.017 0.007 -0.020 0.020 -0.017 96.400 66.200 3.067 
-0.022 0.015 0.027 0.010 -0.029 0.027 -0.012 95.800 62.000 3.126 
-0.005 0.022 0.020 -0.005 -0.015 0.024 -0.010 95.000 57.800 3.184 
0.002 0.032 0.020 -0.012 -0.012 0.032 -0.005 94.400 53.400 3.243 
-0.012 0.015 0.017 0.005 -0.020 0.022 -0.005 93.800 49.000 3.302 
-0.017 0.007 0.015 0.010 -0.020 0.017 -0.012 93.400 44.600 3.331 
-0.017 0.007 0.017 0.010 -0.020 0.017 -0.017 93.000 40.400 3.360 
-0.002 0.012 0.012 -0.002 -0.007 0.015 -0.010 92.600 36.200 3.389 
-0.002 0.020 0.012 -0.002 -0.012 0.022 -0.010 92.200 32.200 3.419 
-0.024 -0.002 0.007 0.022 -0.022 0.010 -0.005 92.200 28.600 3.424 
-0.000 0.017 0.010 -0.005 -0.007 0.017 -0.005 92.000 25.200 3.429 
-0.005 0.012 0.005 0.002 -0.010 0.015 -0.012 92.000 22.200 3.433 
-0.005 0.017 0.007 0.002 -0.012 0.020 -0.010 92.000 19.400 3.438 
-0.010 0.007 0.010 0.005 -0.012 0.012 -0.007 92.200 17.000 3.429 
-0.020 0.002 0.010 0.015 -0.020 0.012 -0.007 92.400 15.000 3.419 
-0.015 0.005 0.012 0.010 -0.017 0.012 -0.005 92.600 13.200 3.409 
-0.007 0.007 0.002 0.007 -0.010 0.012 -0.007 92.600 11.600 3.399 
-0.007 0.007 0.002 0.007 -0.010 0.012 -0.010 92.800 10.400 3.380 
-0.000 0.010 0.002 -0.000 -0.005 0.010 -0.012 92.600 9.400 3.360 
-0.010 0.015 0.007 0.007 -0.017 0.020 -0.015 92.600 8.600 3.341 
-0.005 0.015 0.010 -0.000 -0.012 0.017 -0.017 92.400 8.000 3.321 
0.002 0.022 0.007 -0.005 -0.007 0.022 -0.012 92.200 7.400 3.316 
-0.007 0.017 0.012 0.002 -0.015 0.022 -0.017 91.800 7.200 3.311 
-0.000 0.034 0.020 -0.010 -0.017 0.034 -0.022 91.400 7.000 3.306 
0.002 0.042 0.024 -0.015 -0.017 0.042 -0.007 91.000 6.800 3.302 
0.002 0.044 0.029 -0.017 -0.020 0.044 -0.010 90.400 6.600 3.292 
-0.005 0.037 0.029 -0.010 -0.022 0.039 0.002 89.800 6.600 3.282 
-0.005 0.042 0.034 -0.012 -0.024 0.044 0.022 89.200 6.600 3.272 
-0.005 0.042 0.032 -0.010 -0.024 0.044 0.015 88.400 6.800 3.263 
-0.010 0.046 0.037 -0.007 -0.032 0.051 0.007 87.600 6.800 3.248 
-0.010 0.049 0.044 -0.012 -0.034 0.054 0.010 86.800 6.800 3.233 
-0.002 0.056 0.039 -0.017 -0.029 0.059 -0.002 86.200 7.000 3.219 
-0.007 0.044 0.032 -0.007 -0.029 0.049 -0.012 85.400 7.200 3.204 
-0.000 0.044 0.020 -0.010 -0.022 0.044 -0.020 84.800 7.200 3.179 
-0.007 0.032 0.017 -0.000 -0.022 0.037 -0.032 84.200 7.400 3.155 
-0.000 0.046 0.029 -0.015 -0.022 0.046 -0.039 83.600 7.600 3.131 
-0.010 0.039 0.032 -0.005 -0.029 0.044 -0.046 83.000 7.800 3.106 
-0.002 0.034 0.022 -0.007 -0.020 0.037 -0.042 82.400 8.200 3.082 
0.007 0.027 0.010 -0.012 -0.005 0.024 -0.049 81.800 8.400 3.057 
-0.015 0.010 0.005 0.012 -0.020 0.017 -0.046 81.400 8.600 3.033 
-0.005 0.005 -0.007 0.010 -0.007 0.007 -0.046 80.800 9.000 3.009 
-0.010 0.017 0.007 0.007 -0.017 0.022 -0.046 80.400 9.200 2.989 
-0.005 0.022 0.005 0.002 -0.015 0.024 -0.049 80.000 9.600 2.969 
0.012 0.032 -0.005 -0.010 -0.002 0.027 -0.061 79.600 10.000 2.950 
0.012 0.017 -0.012 -0.005 0.005 0.012 -0.063 79.400 10.200 2.930 
0.032 0.024 -0.022 -0.020 0.020 0.010 -0.056 79.400 10.600 2.921 
0.029 0.032 -0.012 -0.022 0.015 0.017 -0.044 79.400 11.000 2.911 
0.005 0.022 -0.000 -0.005 -0.005 0.020 -0.042 79.600 11.400 2.901 
0.007 0.032 0.002 -0.007 -0.007 0.029 -0.032 80.000 11.800 2.891 
0.017 0.039 -0.000 -0.017 -0.002 0.032 -0.022 80.200 12.200 2.891 
-0.005 0.012 0.007 0.002 -0.010 0.015 -0.015 80.600 12.600 2.891 
-0.022 0.007 0.017 0.015 -0.024 0.020 -0.002 81.000 13.000 2.891 
-0.020 0.007 0.015 0.012 -0.022 0.017 0.002 81.400 13.400 2.891 
-0.034 -0.020 0.007 0.032 -0.024 -0.002 -0.010 81.600 13.800 2.896 
-0.022 -0.010 -0.000 0.022 -0.017 0.002 -0.002 81.800 14.000 2.901 
-0.029 -0.012 0.002 0.029 -0.022 0.002 0.010 81.800 14.200 2.906 
-0.034 -0.024 0.002 0.034 -0.022 -0.007 0.002 81.600 14.400 2.911 
-0.015 -0.010 -0.007 0.020 -0.010 -0.002 0.002 81.400 14.600 2.916 
-0.012 -0.007 -0.007 0.017 -0.007 -0.000 -0.002 81.000 14.600 2.921 
-0.020 -0.015 -0.007 0.024 -0.012 -0.005 0.005 80.600 14.800 2.926 
-0.022 -0.015 -0.002 0.024 -0.015 -0.002 -0.000 79.800 14.800 2.930 
-0.029 -0.017 -0.000 0.029 -0.020 -0.002 0.002 79.000 14.600 2.926 
-0.022 -0.017 -0.007 0.027 -0.012 -0.005 -0.000 78.200 14.600 2.921 
-0.012 -0.007 -0.005 0.015 -0.007 -0.000 0.002 77.200 14.400 2.916 
-0.010 -0.015 -0.012 0.017 -0.002 -0.010 -0.002 76.000 14.200 2.911 
-0.020 -0.022 -0.015 0.027 -0.007 -0.012 -0.000 75.000 14.000 2.906 
-0.022 -0.024 -0.012 0.029 -0.010 -0.012 -0.000 74.000 14.000 2.901 
-0.020 -0.015 -0.012 0.027 -0.012 -0.005 0.002 73.000 13.800 2.896 
-0.032 -0.024 -0.007 0.037 -0.020 -0.007 0.002 72.200 13.800 2.891 
-0.012 -0.010 -0.012 0.020 -0.007 -0.002 0.010 71.400 13.800 2.872 
-0.012 -0.010 -0.007 0.017 -0.007 -0.002 0.002 70.800 14.000 2.852 
-0.012 -0.007 -0.007 0.017 -0.007 -0.000 0.002 70.400 14.200 2.833 
-0.017 -0.015 -0.010 0.022 -0.010 -0.005 -0.002 70.000 14.400 2.813 
-0.027 -0.017 -0.005 0.029 -0.017 -0.002 0.002 69.800 14.800 2.794 
-0.032 -0.020 -0.007 0.037 -0.022 -0.002 -0.005 69.800 15.400 2.774 
-0.024 -0.015 -0.000 0.024 -0.017 -0.002 0.002 69.800 16.000 2.755 
-0.010 -0.005 -0.007 0.015 -0.007 -0.000 0.007 70.000 16.600 2.735 
-0.015 -0.010 -0.005 0.017 -0.010 -0.002 0.005 70.200 17.200 2.716 
-0.022 -0.017 -0.007 0.027 -0.012 -0.005 0.002 70.600 18.000 2.696 
-0.034 -0.020 0.002 0.034 -0.024 -0.002 -0.000 70.800 18.600 2.676 
-0.015 -0.007 -0.005 0.017 -0.010 -0.000 0.002 71.000 19.400 2.657 
-0.007 -0.017 -0.020 0.017 0.002 -0.012 -0.000 71.200 20.000 2.637 
0.042 -0.017 -0.068 -0.007 0.051 -0.037 -0.020 71.200 20.600 2.618 
0.073 -0.015 -0.095 -0.024 0.081 -0.051 -0.015 71.200 21.000 2.598 
0.081 0.002 -0.083 -0.039 0.081 -0.037 -0.032 71.200 21.400 2.579 
