I II III aVL aVF V1 V2 LV AO Resp SPO2
-0.000 -0.076 -0.000 0.010 -0.061 -0.029 0.032 -2.000 81.800 -0.381 2.090 
-0.000 0.186 -0.000 0.012 0.134 -0.195 -0.100 -2.000 82.000 -0.379 2.208 
-0.000 -0.083 -0.000 0.044 -0.083 -0.046 0.024 -2.000 82.200 -0.376 2.335 
-0.000 -0.122 -0.000 0.034 -0.107 -0.015 0.046 -2.000 82.400 -0.376 2.462 
-0.000 -0.249 -0.000 0.002 -0.188 0.063 0.122 -2.000 82.400 -0.374 2.589 
-0.000 -0.117 -0.000 -0.002 -0.085 -0.015 0.056 -1.800 82.600 -0.371 2.716 
-0.000 -0.105 -0.000 -0.020 -0.068 -0.020 0.056 -1.800 82.600 -0.369 2.838 
-0.000 -0.100 -0.000 -0.042 -0.054 -0.039 0.061 -1.600 82.600 -0.366 2.960 
-0.000 -0.127 -0.000 -0.042 -0.073 -0.037 0.076 -1.600 82.400 -0.364 3.082 
-0.000 -0.151 -0.000 -0.056 -0.085 -0.017 0.093 -1.600 82.200 -0.359 3.204 
-0.000 -0.188 -0.000 -0.081 -0.100 -0.005 0.120 -1.600 82.000 -0.359 3.311 
-0.000 -0.205 -0.000 -0.100 -0.103 0.010 0.134 -1.600 81.800 -0.357 3.419 
-0.000 -0.249 -0.000 -0.112 -0.129 -0.044 0.159 -1.800 81.400 -0.354 3.526 
-0.000 -0.269 -0.000 -0.132 -0.134 -0.100 0.176 -1.800 81.000 -0.352 3.634 
-0.000 -0.288 -0.000 -0.154 -0.139 -0.242 0.193 -2.000 80.400 -0.349 3.712 
-0.000 -0.254 -0.000 -0.190 -0.095 -0.374 0.188 -2.000 80.000 -0.349 3.790 
-0.000 -0.232 -0.000 -0.186 -0.081 -0.503 0.176 -2.000 79.400 -0.347 3.868 
-0.000 -0.259 -0.000 -0.164 -0.112 -0.718 0.181 -2.000 78.800 -0.344 3.946 
-0.000 -0.259 -0.000 -0.144 -0.122 -1.021 0.176 -2.000 78.200 -0.342 4.005 
-0.000 -0.286 -0.000 -0.088 -0.168 -1.140 0.171 -1.800 77.600 -0.337 4.063 
-0.000 -0.239 -0.000 -0.042 -0.159 -1.099 0.132 -1.800 77.200 -0.335 4.122 
-0.000 -0.244 -0.000 -0.032 -0.166 -0.974 0.129 -1.800 76.800 -0.330 4.181 
-0.000 -0.222 -0.000 0.046 -0.188 -0.930 0.093 -1.800 76.600 -0.330 4.210 
-0.000 -0.212 -0.000 0.085 -0.200 -0.845 0.076 -1.800 76.400 -0.327 4.239 
-0.000 -0.203 -0.000 0.144 -0.222 -0.713 0.051 -1.800 76.200 -0.325 4.269 
-0.000 -0.183 -0.000 0.112 -0.193 -0.584 0.051 -1.800 76.200 -0.322 4.298 
-0.000 -0.147 -0.000 0.090 -0.154 -0.435 0.042 -1.800 76.200 -0.320 4.308 
-0.000 -0.144 -0.000 0.081 -0.147 -0.305 0.044 -2.000 76.200 -0.315 4.317 
-0.000 -0.144 -0.000 0.056 -0.134 -0.205 0.051 -2.000 76.200 -0.313 4.327 
-0.000 -0.105 -0.000 0.022 -0.088 -0.134 0.044 -2.000 76.400 -0.308 4.337 
-0.000 -0.066 -0.000 0.007 -0.051 -0.083 0.029 -2.000 76.400 -0.305 4.327 
-0.000 -0.049 -0.000 0.012 -0.042 -0.051 0.017 -1.800 76.400 -0.300 4.317 
-0.000 -0.039 -0.000 0.017 -0.037 -0.037 0.012 -1.800 76.400 -0.298 4.308 
-0.000 -0.034 -0.000 0.020 -0.034 -0.027 0.007 -1.800 76.600 -0.293 4.298 
-0.000 -0.037 -0.000 0.022 -0.037 -0.020 0.010 -1.800 76.600 -0.291 4.274 
-0.000 -0.029 -0.000 0.020 -0.032 -0.015 0.005 -1.800 76.600 -0.286 4.249 
-0.000 -0.037 -0.000 0.032 -0.042 -0.005 0.005 -1.800 76.800 -0.283 4.225 
-0.000 -0.049 -0.000 0.037 -0.054 0.002 0.010 -1.800 76.800 -0.278 4.200 
-0.000 -0.039 -0.000 0.029 -0.044 0.002 0.007 -1.800 76.800 -0.274 4.156 
-0.000 -0.029 -0.000 0.027 -0.034 -0.000 0.002 -1.800 76.800 -0.269 4.112 
