I II III aVR aVL aVF V1 AO SPO2
-0.005 0.015 0.015 -0.002 -0.012 0.017 -0.007 -8.000 1.328 
-0.002 0.012 0.015 -0.005 -0.007 0.015 -0.005 -8.000 1.343 
-0.002 0.012 0.010 -0.002 -0.007 0.015 -0.012 -8.200 1.358 
-0.002 0.010 0.012 -0.002 -0.007 0.012 -0.015 -8.200 1.372 
-0.002 0.017 0.017 -0.005 -0.010 0.020 -0.012 -8.000 1.387 
-0.002 0.029 0.027 -0.010 -0.017 0.032 -0.017 -8.000 1.446 
-0.010 0.017 0.029 -0.005 -0.017 0.022 -0.012 -8.000 1.504 
-0.002 0.015 0.020 -0.007 -0.010 0.017 -0.020 -8.000 1.563 
-0.005 0.020 0.027 -0.007 -0.015 0.022 -0.012 -8.000 1.621 
-0.002 0.029 0.027 -0.010 -0.017 0.032 -0.012 -8.000 1.714 
0.002 0.027 0.027 -0.015 -0.010 0.027 -0.012 -8.000 1.807 
-0.002 0.020 0.015 -0.005 -0.012 0.022 -0.015 -8.000 1.900 
-0.002 0.027 0.022 -0.007 -0.015 0.029 -0.015 -8.000 1.993 
0.005 0.037 0.024 -0.017 -0.012 0.034 -0.015 -8.000 2.110 
0.010 0.029 0.017 -0.017 -0.005 0.024 -0.010 -8.000 2.227 
0.010 0.024 0.020 -0.020 -0.002 0.020 -0.017 -8.000 2.344 
0.007 0.034 0.024 -0.020 -0.010 0.032 -0.017 -8.000 2.462 
0.005 0.037 0.029 -0.020 -0.012 0.034 -0.017 -7.800 2.579 
0.007 0.029 0.022 -0.017 -0.007 0.027 -0.017 -7.800 2.696 
0.005 0.020 0.012 -0.010 -0.005 0.017 -0.017 -7.800 2.813 
0.002 0.027 0.027 -0.015 -0.010 0.027 -0.017 -8.000 2.930 
0.002 0.039 0.037 -0.020 -0.017 0.039 -0.022 -8.000 3.028 
0.005 0.044 0.034 -0.022 -0.017 0.042 -0.022 -8.000 3.126 
0.007 0.039 0.032 -0.022 -0.012 0.037 -0.017 -8.000 3.223 
0.002 0.054 0.049 -0.027 -0.024 0.054 -0.015 -7.800 3.321 
0.005 0.068 0.059 -0.034 -0.029 0.066 -0.015 -8.000 3.438 
0.002 0.073 0.066 -0.034 -0.034 0.073 0.012 -8.000 3.556 
0.002 0.090 0.085 -0.044 -0.042 0.090 0.017 -8.000 3.673 
0.007 0.122 0.110 -0.061 -0.054 0.120 0.022 -8.000 3.790 
0.007 0.129 0.115 -0.063 -0.056 0.127 0.029 -8.000 3.810 
0.022 0.122 0.098 -0.071 -0.039 0.112 0.029 -8.000 3.829 
0.024 0.129 0.098 -0.073 -0.039 0.117 0.024 -8.000 3.849 
0.037 0.156 0.112 -0.093 -0.042 0.139 0.022 -8.000 3.868 
0.042 0.181 0.129 -0.105 -0.049 0.161 0.017 -8.000 3.863 
0.039 0.171 0.127 -0.103 -0.046 0.151 0.007 -7.800 3.858 
0.032 0.147 0.112 -0.088 -0.042 0.132 -0.015 -7.800 3.853 
0.022 0.122 0.095 -0.068 -0.039 0.112 -0.029 -7.800 3.849 
0.020 0.093 0.068 -0.054 -0.027 0.083 -0.032 -7.800 3.829 
0.029 0.083 0.054 -0.056 -0.012 0.068 -0.032 -7.800 3.810 
0.032 0.073 0.039 -0.051 -0.005 0.059 -0.039 -7.800 3.790 
0.037 0.063 0.027 -0.049 0.005 0.046 -0.049 -7.800 3.770 
0.046 0.044 -0.002 -0.044 0.024 0.022 -0.059 -8.000 3.731 
0.039 0.020 -0.027 -0.024 0.029 -0.000 -0.063 -8.000 3.692 
0.029 0.007 -0.022 -0.017 0.027 -0.007 -0.056 -8.000 3.653 
0.015 0.012 -0.005 -0.012 0.010 0.005 -0.044 -8.000 3.614 
0.012 0.007 -0.005 -0.010 0.010 0.002 -0.037 -8.000 3.580 
0.002 -0.007 -0.010 0.002 0.007 -0.007 -0.020 -7.800 3.546 
0.012 0.005 -0.017 -0.002 0.010 -0.000 -0.017 -7.800 3.512 
0.015 0.012 -0.010 -0.010 0.010 0.005 -0.017 -7.800 3.477 
0.020 0.029 0.007 -0.022 0.005 0.020 -0.024 -7.800 3.463 
0.015 0.022 -0.000 -0.015 0.005 0.015 -0.020 -8.000 3.448 
0.010 0.020 0.005 -0.012 -0.000 0.015 -0.024 -8.000 3.433 
0.005 0.029 0.022 -0.015 -0.010 0.027 -0.020 -8.000 3.419 
0.010 0.027 0.015 -0.017 -0.002 0.022 -0.017 -8.000 3.429 
0.012 0.017 -0.000 -0.012 0.005 0.012 -0.017 -8.000 3.438 
0.007 0.010 -0.005 -0.005 0.002 0.007 -0.012 -8.000 3.448 
0.007 0.022 0.005 -0.010 -0.002 0.020 -0.010 -8.000 3.458 
0.012 0.017 -0.005 -0.010 0.005 0.012 -0.020 -8.000 3.492 
0.015 0.010 -0.012 -0.007 0.010 0.002 -0.017 -8.000 3.526 
0.012 0.015 -0.000 -0.012 0.005 0.010 -0.017 -8.000 3.560 
0.010 0.022 0.007 -0.012 -0.000 0.017 -0.012 -8.000 3.595 
0.007 0.015 0.002 -0.007 -0.000 0.012 -0.020 -8.000 3.634 
0.002 0.012 0.002 -0.002 -0.002 0.012 -0.015 -8.000 3.673 
-0.000 0.022 0.012 -0.005 -0.010 0.022 -0.017 -8.000 3.712 
-0.000 0.017 0.007 -0.002 -0.007 0.017 -0.012 -8.000 3.751 
0.007 0.017 -0.000 -0.007 -0.000 0.015 -0.010 -8.000 3.761 
0.010 0.015 -0.002 -0.007 0.002 0.010 -0.007 -8.000 3.770 
0.005 0.020 0.002 -0.005 -0.005 0.017 -0.005 -8.000 3.780 
-0.005 0.010 0.010 -0.000 -0.010 0.012 0.024 -7.800 3.790 
-0.020 -0.020 -0.012 0.027 -0.010 -0.010 0.063 -7.800 3.751 
-0.029 -0.020 0.005 0.027 -0.020 -0.005 0.073 -7.800 3.712 
-0.017 0.002 0.012 0.012 -0.017 0.012 0.054 -7.800 3.673 
0.015 0.056 0.039 -0.034 -0.012 0.049 0.027 -7.800 3.634 
0.085 0.142 0.049 -0.110 0.015 0.100 0.002 -7.800 3.541 
0.217 0.276 0.051 -0.242 0.081 0.168 -0.000 -7.800 3.448 
0.420 0.464 0.039 -0.440 0.188 0.254 -0.034 -7.800 3.355 
0.684 0.672 -0.022 -0.672 0.349 0.330 -0.193 -8.000 3.263 
0.869 0.825 -0.049 -0.845 0.457 0.391 -0.403 -8.000 3.145 
0.896 0.862 -0.042 -0.874 0.466 0.415 -0.540 -8.000 3.028 
0.422 0.901 0.471 -0.657 -0.027 0.691 -0.410 -8.000 2.911 
-0.078 0.989 1.062 -0.452 -0.571 1.028 -0.366 -8.000 2.794 
-0.383 0.803 1.177 -0.205 -0.784 0.996 -0.291 -8.000 2.686 
-0.479 0.586 1.055 -0.049 -0.772 0.825 -0.295 -8.000 2.579 
-0.454 0.269 0.718 0.095 -0.589 0.496 -0.298 -8.000 2.471 
-0.354 0.154 0.498 0.105 -0.430 0.332 -0.298 -8.000 2.364 
-0.227 0.142 0.352 0.051 -0.298 0.256 -0.232 -8.000 2.300 
-0.164 0.061 0.217 0.056 -0.193 0.144 -0.161 -7.800 2.237 
-0.134 -0.002 0.125 0.073 -0.132 0.066 -0.088 -7.800 2.173 
-0.098 -0.042 0.042 0.078 -0.076 0.007 -0.063 -7.800 2.110 
-0.044 -0.015 0.022 0.034 -0.037 0.007 -0.051 -7.800 2.100 
-0.017 -0.007 -0.000 0.017 -0.012 0.002 -0.034 -8.000 2.090 
-0.002 0.012 0.005 -0.000 -0.007 0.015 -0.015 -8.000 2.081 
0.002 0.007 -0.005 -0.000 -0.000 0.007 -0.000 -8.000 2.071 
0.007 0.002 -0.012 -0.000 0.007 -0.000 0.002 -8.000 2.110 
0.010 -0.000 -0.017 -0.000 0.010 -0.005 0.005 -7.800 2.149 
0.012 0.007 -0.010 -0.007 0.010 0.002 0.010 -7.800 2.188 
0.010 0.005 -0.015 -0.002 0.007 -0.000 0.017 -7.800 2.227 
0.010 0.005 -0.015 -0.002 0.007 -0.000 0.015 -7.800 2.276 
0.005 0.002 -0.007 -0.000 0.005 -0.000 0.015 -7.800 2.325 
0.002 0.007 -0.007 0.002 -0.000 0.007 0.022 -7.800 2.374 
0.005 0.007 -0.007 -0.000 0.002 0.005 0.022 -7.800 2.422 
0.010 0.002 -0.017 -0.000 0.010 -0.002 0.020 -7.800 2.457 
0.012 0.002 -0.017 -0.002 0.012 -0.002 0.015 -7.800 2.491 
0.007 0.020 0.002 -0.007 -0.002 0.017 0.024 -8.000 2.525 
0.010 0.032 0.015 -0.017 -0.005 0.027 0.024 -8.000 2.559 
0.005 0.027 0.012 -0.010 -0.007 0.024 0.034 -8.000 2.564 
0.005 0.029 0.020 -0.015 -0.010 0.027 0.024 -8.000 2.569 
0.010 0.042 0.024 -0.022 -0.010 0.037 0.032 -8.000 2.574 
0.007 0.046 0.027 -0.020 -0.015 0.044 0.034 -8.000 2.579 
0.010 0.037 0.022 -0.020 -0.007 0.032 0.037 -8.000 2.564 
0.007 0.037 0.029 -0.022 -0.010 0.034 0.032 -8.000 2.549 
-0.002 0.044 0.034 -0.015 -0.024 0.046 0.042 -8.000 2.535 
-0.000 0.042 0.034 -0.017 -0.020 0.042 0.034 -8.000 2.520 
0.007 0.039 0.024 -0.020 -0.012 0.037 0.037 -8.000 2.501 
0.010 0.049 0.029 -0.024 -0.015 0.044 0.029 -8.000 2.481 
0.005 0.054 0.037 -0.022 -0.022 0.051 0.034 -8.000 2.462 
0.017 0.056 0.034 -0.034 -0.010 0.049 0.034 -8.000 2.442 
0.015 0.049 0.024 -0.027 -0.010 0.042 0.032 -8.000 2.432 
0.020 0.056 0.032 -0.034 -0.007 0.046 0.034 -7.800 2.422 
0.015 0.063 0.032 -0.029 -0.017 0.056 0.039 -7.800 2.413 
0.022 0.056 0.032 -0.037 -0.005 0.046 0.037 -7.800 2.403 
0.015 0.042 0.022 -0.024 -0.005 0.034 0.044 -7.800 2.442 
0.005 0.044 0.029 -0.020 -0.017 0.042 0.049 -7.800 2.481 
0.010 0.056 0.037 -0.027 -0.017 0.051 0.054 -7.800 2.520 
0.010 0.066 0.044 -0.032 -0.022 0.061 0.054 -7.800 2.559 
0.010 0.056 0.039 -0.029 -0.017 0.051 0.056 -7.800 2.593 
-0.000 0.051 0.044 -0.022 -0.024 0.051 0.059 -7.800 2.628 
-0.012 0.054 0.061 -0.017 -0.039 0.061 0.066 -7.800 2.662 
-0.010 0.046 0.049 -0.015 -0.032 0.051 0.073 -7.800 2.696 
-0.007 0.037 0.034 -0.010 -0.024 0.042 0.073 -7.800 2.720 
-0.007 0.046 0.046 -0.015 -0.029 0.051 0.078 -7.800 2.745 
-0.015 0.051 0.054 -0.012 -0.039 0.059 0.083 -8.000 2.769 
-0.010 0.046 0.046 -0.012 -0.032 0.051 0.085 -8.000 2.794 
-0.017 0.029 0.044 -0.005 -0.032 0.039 0.088 -8.000 2.813 
-0.022 0.034 0.044 -0.000 -0.039 0.046 0.081 -8.000 2.833 
-0.022 0.039 0.051 -0.002 -0.042 0.051 0.088 -8.000 2.852 
-0.029 0.032 0.049 0.005 -0.044 0.046 0.095 -8.000 2.872 
-0.027 0.029 0.046 0.005 -0.042 0.044 0.093 -8.000 2.882 
-0.032 0.034 0.056 0.005 -0.049 0.051 0.085 -8.000 2.891 
-0.027 0.049 0.068 -0.007 -0.051 0.063 0.083 -8.000 2.901 
-0.022 0.046 0.061 -0.007 -0.044 0.059 0.078 -7.800 2.911 
-0.020 0.051 0.061 -0.010 -0.044 0.061 0.076 -7.800 2.916 
-0.015 0.066 0.073 -0.022 -0.046 0.073 0.066 -7.800 2.921 
-0.010 0.071 0.071 -0.024 -0.044 0.076 0.063 -7.800 2.926 
-0.005 0.063 0.061 -0.024 -0.037 0.066 0.061 -7.800 2.930 
0.010 0.066 0.051 -0.034 -0.022 0.061 0.051 -7.800 2.926 
0.007 0.073 0.056 -0.034 -0.029 0.071 0.039 -7.800 2.921 
0.015 0.083 0.059 -0.044 -0.027 0.076 0.034 -7.800 2.916 
0.024 0.076 0.044 -0.046 -0.012 0.063 0.029 -7.800 2.911 
0.029 0.076 0.037 -0.046 -0.007 0.061 0.020 -7.800 2.901 
0.027 0.090 0.054 -0.054 -0.017 0.078 0.015 -7.800 2.891 
0.027 0.088 0.049 -0.051 -0.017 0.076 0.007 -7.800 2.882 
0.027 0.073 0.034 -0.044 -0.010 0.061 0.005 -8.000 2.872 
0.022 0.066 0.024 -0.034 -0.010 0.056 -0.002 -8.000 2.847 
0.027 0.063 0.029 -0.042 -0.005 0.051 -0.002 -8.000 2.823 
0.032 0.068 0.027 -0.044 -0.002 0.054 -0.007 -8.000 2.799 
0.029 0.071 0.027 -0.042 -0.005 0.056 -0.015 -8.000 2.774 
0.042 0.081 0.032 -0.056 0.002 0.061 -0.022 -8.000 2.735 
0.029 0.083 0.044 -0.051 -0.012 0.068 -0.015 -8.000 2.696 
0.024 0.081 0.046 -0.046 -0.015 0.068 -0.015 -8.000 2.657 
0.024 0.073 0.044 -0.046 -0.012 0.061 -0.020 -8.000 2.618 
0.017 0.063 0.037 -0.034 -0.015 0.056 -0.020 -8.000 2.574 
0.022 0.061 0.037 -0.039 -0.007 0.051 -0.020 -8.000 2.530 
0.024 0.063 0.032 -0.039 -0.007 0.051 -0.017 -8.000 2.486 
0.027 0.054 0.020 -0.037 -0.000 0.042 -0.017 -8.000 2.442 
0.022 0.061 0.029 -0.037 -0.007 0.051 -0.017 -8.000 2.403 
0.015 0.068 0.044 -0.037 -0.020 0.061 -0.017 -7.800 2.364 
0.017 0.066 0.044 -0.039 -0.015 0.059 -0.017 -7.800 2.325 
0.015 0.076 0.051 -0.039 -0.022 0.068 -0.017 -7.800 2.286 
0.010 0.085 0.063 -0.042 -0.032 0.081 -0.017 -7.800 2.261 
0.017 0.085 0.059 -0.046 -0.024 0.078 -0.022 -7.800 2.237 
0.022 0.068 0.039 -0.042 -0.012 0.059 -0.017 -7.800 2.212 
0.022 0.066 0.042 -0.042 -0.010 0.056 -0.022 -7.800 2.188 
0.012 0.083 0.059 -0.042 -0.029 0.078 -0.020 -7.800 2.173 
0.017 0.088 0.066 -0.049 -0.027 0.081 -0.017 -7.800 2.159 
0.017 0.093 0.068 -0.051 -0.029 0.085 -0.017 -7.800 2.144 
0.002 0.088 0.076 -0.039 -0.042 0.088 -0.015 -7.800 2.129 
-0.000 0.098 0.083 -0.042 -0.049 0.098 -0.007 -7.800 2.125 
0.012 0.088 0.068 -0.046 -0.032 0.083 -0.022 -7.800 2.120 
0.007 0.076 0.056 -0.034 -0.029 0.073 -0.012 -7.800 2.115 
0.002 0.073 0.056 -0.029 -0.034 0.073 -0.022 -7.800 2.110 
0.002 0.073 0.061 -0.032 -0.034 0.073 -0.015 -8.000 2.115 
0.010 0.071 0.049 -0.034 -0.024 0.066 -0.017 -8.000 2.120 
0.020 0.063 0.029 -0.034 -0.012 0.054 -0.012 -8.000 2.125 
0.034 0.073 0.027 -0.046 -0.002 0.056 -0.024 -8.000 2.129 
0.027 0.090 0.051 -0.051 -0.017 0.078 -0.027 -8.000 2.134 
0.029 0.088 0.049 -0.054 -0.015 0.073 -0.024 -8.000 2.139 
0.034 0.083 0.032 -0.049 -0.007 0.066 -0.022 -8.000 2.144 
0.046 0.078 0.020 -0.056 0.007 0.056 -0.027 -8.000 2.149 
0.042 0.088 0.034 -0.059 -0.002 0.068 -0.027 -8.000 2.154 
0.034 0.088 0.034 -0.051 -0.010 0.071 -0.027 -7.800 2.159 
0.044 0.081 0.027 -0.056 0.005 0.059 -0.032 -8.000 2.164 
0.042 0.083 0.032 -0.056 -0.000 0.063 -0.029 -8.000 2.168 
0.049 0.093 0.034 -0.066 0.002 0.068 -0.029 -8.000 2.173 
0.044 0.098 0.037 -0.061 -0.005 0.076 -0.024 -8.000 2.178 
0.051 0.090 0.029 -0.066 0.007 0.066 -0.022 -8.000 2.183 
0.049 0.105 0.039 -0.068 -0.002 0.081 -0.017 -8.000 2.188 
0.051 0.129 0.059 -0.081 -0.012 0.105 -0.010 -8.000 2.198 
0.059 0.132 0.061 -0.088 -0.007 0.103 -0.002 -7.800 2.208 
0.054 0.125 0.056 -0.081 -0.007 0.098 0.010 -7.800 2.217 
0.051 0.134 0.071 -0.085 -0.015 0.110 0.012 -7.800 2.227 
0.051 0.149 0.083 -0.093 -0.022 0.125 0.002 -8.000 2.232 
0.068 0.151 0.073 -0.105 -0.007 0.117 -0.007 -8.000 2.237 
0.068 0.159 0.076 -0.105 -0.010 0.125 -0.010 -8.000 2.242 
0.071 0.166 0.081 -0.110 -0.012 0.132 -0.012 -8.000 2.247 
0.066 0.168 0.088 -0.110 -0.017 0.137 -0.012 -8.000 2.247 
0.056 0.144 0.078 -0.095 -0.015 0.117 -0.022 -8.000 2.247 
0.046 0.107 0.042 -0.066 -0.007 0.085 -0.042 -8.000 2.247 
0.042 0.100 0.046 -0.063 -0.007 0.081 -0.051 -8.000 2.247 
0.044 0.095 0.037 -0.061 -0.002 0.073 -0.049 -8.200 2.247 
0.049 0.073 0.007 -0.051 0.012 0.049 -0.056 -8.200 2.247 
0.042 0.034 -0.024 -0.029 0.024 0.015 -0.063 -8.200 2.247 
0.037 0.020 -0.029 -0.022 0.027 0.002 -0.073 -8.200 2.247 
0.044 0.020 -0.042 -0.022 0.034 -0.002 -0.083 -8.200 2.242 
0.034 -0.000 -0.049 -0.010 0.034 -0.017 -0.071 -8.200 2.237 
0.015 -0.007 -0.039 0.005 0.020 -0.015 -0.044 -8.200 2.232 
0.010 -0.010 -0.037 0.010 0.015 -0.015 -0.034 -8.000 2.227 
0.002 -0.015 -0.034 0.015 0.010 -0.015 -0.020 -8.000 2.212 
