I II III aVR aVL aVF V1 LV AO Resp SPO2
0.051 0.066 0.017 -0.059 0.020 0.042 -0.054 155.000 156.200 0.020 3.731 
0.078 0.090 0.012 -0.083 0.034 0.051 -0.078 151.400 153.400 0.022 3.761 
0.090 0.098 0.007 -0.093 0.042 0.054 -0.073 147.800 150.600 0.024 3.790 
0.144 0.122 -0.024 -0.132 0.083 0.051 -0.095 143.800 147.600 0.024 3.810 
0.217 0.186 -0.039 -0.198 0.125 0.078 -0.168 139.800 144.600 0.027 3.829 
0.254 0.215 -0.044 -0.232 0.147 0.088 -0.215 135.600 141.800 0.027 3.849 
0.327 0.303 -0.022 -0.315 0.176 0.139 -0.300 131.200 139.000 0.029 3.868 
0.413 0.374 -0.044 -0.391 0.227 0.168 -0.379 126.600 136.600 0.029 3.878 
0.498 0.427 -0.071 -0.462 0.286 0.178 -0.449 122.000 134.400 0.032 3.888 
0.601 0.437 -0.164 -0.518 0.383 0.137 -0.501 117.000 132.600 0.034 3.897 
0.735 0.437 -0.300 -0.584 0.518 0.071 -0.530 111.800 130.800 0.037 3.907 
0.879 0.413 -0.464 -0.647 0.674 -0.027 -0.549 106.200 129.200 0.037 3.902 
0.989 0.366 -0.625 -0.676 0.806 -0.127 -0.569 100.400 127.800 0.037 3.897 
1.055 0.242 -0.808 -0.650 0.935 -0.286 -0.613 94.400 126.600 0.037 3.893 
1.070 0.159 -0.908 -0.615 0.991 -0.376 -0.645 88.200 125.200 0.037 3.888 
1.074 0.173 -0.901 -0.623 0.989 -0.364 -0.691 82.200 124.400 0.037 3.878 
1.121 0.234 -0.889 -0.676 1.004 -0.325 -0.847 76.200 123.400 0.037 3.868 
1.165 0.222 -0.940 -0.694 1.055 -0.359 -0.935 70.600 122.600 0.039 3.858 
1.170 0.212 -0.952 -0.694 1.065 -0.371 -1.006 64.800 121.600 0.039 3.849 
1.116 0.208 -0.908 -0.662 1.013 -0.349 -1.028 60.000 120.800 0.037 3.829 
1.062 0.234 -0.833 -0.645 0.945 -0.295 -0.989 55.200 119.800 0.037 3.810 
0.991 0.220 -0.779 -0.601 0.882 -0.276 -0.889 51.000 118.800 0.034 3.790 
0.913 0.142 -0.777 -0.525 0.842 -0.315 -0.796 46.800 117.800 0.032 3.770 
0.818 0.120 -0.703 -0.466 0.759 -0.288 -0.696 43.200 117.000 0.032 3.741 
0.652 -0.032 -0.686 -0.308 0.669 -0.357 -0.532 39.600 116.000 0.032 3.712 
0.430 -0.103 -0.527 -0.166 0.481 -0.317 -0.335 36.600 115.000 0.032 3.683 
0.190 -0.166 -0.364 -0.007 0.274 -0.261 -0.151 33.600 114.000 0.032 3.653 
0.010 -0.154 -0.164 0.073 0.088 -0.159 -0.034 31.200 113.200 0.029 3.624 
-0.081 -0.051 0.027 0.068 -0.054 -0.010 -0.005 28.800 112.200 0.029 3.595 
-0.122 -0.068 0.054 0.095 -0.088 -0.007 0.020 26.800 111.400 0.027 3.565 
-0.137 -0.088 0.046 0.115 -0.093 -0.020 0.037 25.000 110.400 0.024 3.536 
-0.144 -0.073 0.066 0.112 -0.107 -0.000 0.037 23.600 109.600 0.024 3.497 
-0.149 -0.081 0.071 0.115 -0.107 -0.005 0.037 22.400 108.800 0.024 3.458 
-0.161 -0.088 0.076 0.125 -0.117 -0.007 0.044 21.600 108.000 0.024 3.419 
-0.166 -0.063 0.105 0.115 -0.134 0.020 0.049 20.800 107.000 0.024 3.380 
-0.166 -0.093 0.066 0.134 -0.120 -0.010 0.061 20.800 106.400 0.022 3.365 
-0.188 -0.100 0.088 0.144 -0.137 -0.005 0.063 20.600 105.600 0.022 3.350 
-0.188 -0.090 0.105 0.137 -0.142 0.005 0.068 21.000 104.800 0.020 3.336 
-0.188 -0.093 0.093 0.142 -0.142 0.002 0.071 21.600 104.200 0.017 3.321 
-0.193 -0.093 0.103 0.142 -0.147 0.005 0.073 22.800 103.400 0.017 3.311 
-0.215 -0.100 0.115 0.159 -0.164 0.007 0.071 24.000 102.800 0.015 3.302 
-0.203 -0.100 0.105 0.151 -0.151 0.002 0.081 26.000 102.200 0.015 3.292 
-0.208 -0.093 0.115 0.151 -0.161 0.012 0.088 28.000 101.600 0.015 3.282 
