I II III aVR aVL aVF V1 LV AO Resp SPO2
0.029 0.037 0.002 -0.029 0.012 0.022 0.002 39.400 116.200 0.088 2.286 
0.010 0.020 0.007 -0.012 -0.000 0.015 0.012 35.600 115.400 0.085 2.276 
0.015 0.024 0.007 -0.017 0.002 0.017 0.012 31.800 114.400 0.085 2.266 
0.012 0.029 0.015 -0.020 -0.002 0.024 0.002 28.600 113.400 0.083 2.256 
0.007 0.029 0.024 -0.020 -0.007 0.027 -0.000 25.600 112.600 0.081 2.247 
0.007 0.017 0.007 -0.010 -0.000 0.015 0.012 23.200 111.600 0.078 2.237 
0.017 0.034 0.015 -0.024 -0.000 0.027 0.007 20.800 110.600 0.076 2.227 
0.017 0.027 0.010 -0.022 0.005 0.020 0.007 19.000 109.600 0.073 2.217 
-0.000 -0.020 -0.020 0.010 0.010 -0.020 0.027 17.200 108.400 0.068 2.208 
-0.000 0.022 0.022 -0.010 -0.010 0.022 0.017 15.800 107.400 0.068 2.198 
0.007 0.037 0.027 -0.020 -0.010 0.034 -0.000 14.600 106.400 0.066 2.188 
-0.024 0.017 0.046 0.002 -0.032 0.029 0.012 13.400 105.400 0.066 2.178 
-0.010 0.032 0.039 -0.010 -0.024 0.037 0.017 12.400 104.400 0.063 2.168 
0.005 0.044 0.037 -0.022 -0.017 0.042 0.015 11.600 103.600 0.061 2.159 
-0.017 0.010 0.027 0.005 -0.022 0.020 0.020 10.800 102.800 0.059 2.149 
-0.012 0.010 0.022 0.002 -0.017 0.017 0.020 10.200 102.000 0.056 2.139 
-0.005 0.012 0.017 -0.002 -0.010 0.015 0.022 9.600 101.200 0.054 2.129 
-0.017 0.010 0.024 0.005 -0.022 0.020 0.022 9.400 100.400 0.054 2.120 
-0.022 -0.017 0.002 0.022 -0.012 -0.005 0.024 9.000 99.800 0.054 2.110 
-0.000 -0.007 -0.007 0.005 0.005 -0.007 0.024 8.600 99.000 0.054 2.100 
-0.012 -0.005 -0.000 0.012 -0.010 0.002 0.024 8.400 98.200 0.054 2.090 
-0.012 -0.005 0.002 0.012 -0.010 0.002 0.017 8.000 97.400 0.054 2.081 
0.005 0.002 -0.005 -0.002 0.005 -0.000 0.007 7.600 96.600 0.054 2.071 
0.010 0.012 0.002 -0.010 0.005 0.007 0.005 7.200 96.000 0.051 2.061 
-0.005 0.007 0.007 0.002 -0.007 0.010 0.010 6.800 95.200 0.051 2.051 
-0.020 0.005 0.027 0.007 -0.022 0.015 0.010 6.600 94.600 0.051 2.042 
-0.017 -0.002 0.015 0.010 -0.015 0.007 0.012 6.200 93.800 0.051 2.032 
-0.010 0.007 0.020 -0.000 -0.012 0.012 0.012 6.200 93.200 0.051 2.022 
-0.017 -0.012 0.002 0.017 -0.010 -0.002 0.010 6.000 92.600 0.051 2.012 
-0.007 -0.020 -0.017 0.017 0.002 -0.015 0.012 6.000 92.000 0.051 2.002 
-0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 6.000 91.400 0.051 1.993 
-0.029 -0.002 0.024 0.017 -0.027 0.012 -0.005 6.200 90.800 0.051 1.983 
-0.015 -0.002 0.012 0.010 -0.012 0.005 -0.000 6.400 90.200 0.051 1.973 
-0.002 0.002 -0.002 0.005 -0.002 0.005 -0.002 6.600 89.600 0.051 1.963 
0.005 0.012 0.007 -0.007 -0.000 0.010 -0.005 6.800 89.000 0.051 1.954 
-0.007 0.005 0.010 0.002 -0.010 0.010 0.002 7.000 88.600 0.051 1.944 
0.012 0.017 0.005 -0.015 0.005 0.012 0.005 7.200 88.000 0.051 1.934 
0.024 0.039 0.012 -0.029 0.005 0.027 0.012 7.200 87.600 0.051 1.919 
0.017 0.044 0.022 -0.027 -0.005 0.037 0.039 7.400 87.200 0.051 1.905 
0.005 0.063 0.054 -0.032 -0.027 0.061 0.061 7.400 86.800 0.051 1.890 
0.020 0.063 0.039 -0.039 -0.012 0.054 0.095 7.600 86.200 0.051 1.875 
0.022 0.059 0.034 -0.039 -0.007 0.049 0.100 7.400 85.800 0.051 1.861 
0.034 0.103 0.063 -0.066 -0.017 0.085 0.066 7.400 85.400 0.051 1.846 
0.039 0.093 0.051 -0.063 -0.007 0.073 0.049 7.400 85.000 0.051 1.832 
0.059 0.107 0.044 -0.081 0.005 0.078 0.020 7.400 84.400 0.051 1.817 
0.051 0.117 0.066 -0.083 -0.007 0.093 -0.007 7.200 84.000 0.051 1.802 
0.054 0.095 0.039 -0.073 0.007 0.068 -0.024 7.200 83.600 0.049 1.788 
0.054 0.105 0.042 -0.073 0.002 0.078 -0.059 7.200 83.000 0.049 1.773 
0.046 0.081 0.029 -0.061 0.007 0.059 -0.068 7.200 82.600 0.049 1.758 
0.020 0.039 0.020 -0.029 -0.000 0.029 -0.054 7.200 82.200 0.049 1.744 
0.034 0.017 -0.022 -0.022 0.027 -0.000 -0.044 7.200 81.800 0.049 1.729 
0.034 0.020 -0.015 -0.027 0.024 0.002 -0.029 7.200 81.400 0.049 1.714 
0.027 0.027 -0.000 -0.027 0.015 0.015 -0.027 7.200 81.000 0.051 1.700 
0.039 0.029 -0.012 -0.032 0.024 0.010 -0.029 7.200 80.800 0.051 1.685 
0.061 0.007 -0.063 -0.029 0.059 -0.022 -0.029 7.200 80.400 0.051 1.670 
0.066 0.002 -0.073 -0.029 0.066 -0.029 -0.039 7.200 80.000 0.051 1.656 
0.027 -0.000 -0.029 -0.012 0.027 -0.012 -0.027 7.200 79.600 0.051 1.641 
0.012 -0.024 -0.042 0.010 0.024 -0.029 -0.007 7.200 79.200 0.051 1.631 
-0.017 -0.012 -0.002 0.020 -0.010 -0.002 -0.002 7.000 78.800 0.051 1.621 
-0.029 -0.049 -0.027 0.044 -0.005 -0.034 0.015 7.000 78.600 0.054 1.612 
-0.034 -0.049 -0.022 0.046 -0.010 -0.032 -0.000 7.000 78.200 0.054 1.602 
-0.022 -0.029 -0.012 0.029 -0.007 -0.017 -0.002 7.000 78.000 0.056 1.587 
-0.015 -0.051 -0.037 0.034 0.012 -0.044 0.002 6.800 77.800 0.059 1.573 
-0.032 -0.049 -0.020 0.042 -0.007 -0.032 -0.002 6.800 77.400 0.059 1.558 
-0.027 -0.032 -0.005 0.029 -0.010 -0.017 -0.002 6.800 77.200 0.063 1.543 
-0.022 -0.039 -0.020 0.032 -0.002 -0.027 -0.005 6.800 76.800 0.063 1.509 
-0.020 -0.044 -0.024 0.032 0.002 -0.034 -0.002 7.000 76.600 0.066 1.475 
-0.032 -0.039 -0.007 0.037 -0.012 -0.022 0.007 7.200 76.400 0.066 1.441 
-0.022 -0.046 -0.022 0.034 0.002 -0.034 -0.000 7.400 76.200 0.068 1.407 
-0.027 -0.044 -0.015 0.034 -0.005 -0.029 -0.000 7.600 76.000 0.071 1.387 
-0.042 -0.056 -0.015 0.049 -0.012 -0.034 0.005 8.000 75.600 0.073 1.368 
-0.034 -0.051 -0.012 0.042 -0.007 -0.034 0.002 8.400 75.400 0.076 1.348 
-0.027 -0.042 -0.015 0.034 -0.005 -0.027 -0.012 8.800 75.200 0.081 1.328 
-0.032 -0.044 -0.012 0.039 -0.010 -0.027 -0.005 9.200 75.000 0.083 1.309 
-0.044 -0.034 0.010 0.039 -0.027 -0.012 0.005 9.600 74.800 0.083 1.289 
-0.042 -0.034 0.007 0.039 -0.024 -0.012 0.015 9.600 74.600 0.085 1.270 
-0.054 -0.039 0.012 0.049 -0.034 -0.012 0.029 9.800 74.200 0.088 1.250 
-0.068 -0.098 -0.032 0.085 -0.020 -0.063 0.046 10.000 74.000 0.090 1.236 
-0.046 -0.110 -0.073 0.083 0.010 -0.085 0.046 10.000 73.800 0.090 1.221 
0.037 -0.066 -0.107 0.017 0.071 -0.083 0.012 10.000 73.600 0.093 1.206 
0.154 -0.029 -0.183 -0.061 0.168 -0.105 -0.095 9.800 73.400 0.095 1.192 
0.293 0.054 -0.239 -0.173 0.266 -0.093 -0.278 9.800 73.200 0.095 1.177 
0.469 0.234 -0.234 -0.352 0.352 -0.000 -0.493 9.600 73.000 0.095 1.162 
0.608 0.400 -0.205 -0.505 0.408 0.098 -0.640 9.600 72.800 0.095 1.148 
0.737 0.601 -0.137 -0.669 0.437 0.232 -0.772 9.600 72.600 0.095 1.133 
0.689 0.488 -0.205 -0.586 0.444 0.144 -0.772 9.600 72.400 0.098 1.118 
0.418 0.286 -0.139 -0.347 0.276 0.078 -0.728 9.800 72.200 0.098 1.104 
0.049 0.066 0.015 -0.056 0.017 0.042 -0.608 10.000 72.000 0.100 1.089 
-0.007 -0.112 -0.105 0.061 0.049 -0.107 -0.628 10.400 71.800 0.103 1.074 
0.034 -0.168 -0.210 0.071 0.120 -0.186 -0.691 11.000 71.600 0.103 1.055 
0.032 -0.215 -0.249 0.093 0.139 -0.230 -0.615 11.600 71.400 0.100 1.035 
-0.007 -0.281 -0.276 0.147 0.134 -0.276 -0.491 12.600 71.000 0.100 1.016 
-0.037 -0.200 -0.164 0.120 0.063 -0.181 -0.374 13.400 70.800 0.098 0.996 
-0.110 -0.034 0.071 0.076 -0.093 0.022 -0.252 14.400 70.600 0.100 0.977 
-0.144 -0.022 0.120 0.085 -0.132 0.051 -0.156 15.400 70.200 0.103 0.957 
-0.137 -0.054 0.085 0.095 -0.110 0.015 -0.071 16.400 69.800 0.105 0.938 
-0.122 -0.056 0.063 0.090 -0.093 0.005 -0.015 17.200 69.600 0.110 0.918 
-0.112 -0.056 0.059 0.083 -0.083 -0.000 0.015 18.000 69.200 0.110 0.889 
-0.098 -0.078 0.015 0.090 -0.059 -0.029 0.049 18.800 68.800 0.110 0.860 
-0.090 -0.056 0.027 0.078 -0.061 -0.010 0.054 19.600 68.600 0.110 0.830 
-0.098 -0.046 0.051 0.073 -0.073 0.002 0.051 20.200 68.400 0.110 0.801 
-0.115 -0.088 0.024 0.103 -0.071 -0.029 0.059 21.200 68.400 0.110 0.781 
-0.095 -0.078 0.007 0.093 -0.056 -0.029 0.066 22.400 68.200 0.112 0.762 
-0.088 -0.059 0.024 0.076 -0.059 -0.015 0.063 24.000 68.200 0.112 0.742 
-0.098 -0.071 0.020 0.088 -0.061 -0.022 0.066 25.800 68.200 0.115 0.723 
-0.105 -0.061 0.037 0.088 -0.073 -0.007 0.068 28.600 68.000 0.115 0.708 
-0.076 -0.044 0.024 0.063 -0.054 -0.005 0.066 31.400 68.000 0.115 0.694 
-0.073 -0.044 0.020 0.063 -0.051 -0.007 0.063 35.400 68.000 0.115 0.679 
-0.095 -0.066 0.027 0.083 -0.061 -0.017 0.056 39.400 68.000 0.115 0.664 
-0.090 -0.081 0.005 0.088 -0.049 -0.034 0.066 44.400 68.400 0.115 0.650 
-0.083 -0.059 0.022 0.073 -0.054 -0.017 0.066 49.400 68.600 0.115 0.635 
-0.078 -0.046 0.024 0.066 -0.054 -0.007 0.061 55.400 69.200 0.117 0.620 
-0.100 -0.068 0.027 0.088 -0.066 -0.017 0.071 61.400 70.000 0.117 0.606 
-0.090 -0.061 0.022 0.081 -0.059 -0.015 0.073 68.000 71.200 0.117 0.596 
-0.100 -0.054 0.037 0.083 -0.073 -0.002 0.073 74.600 72.400 0.117 0.586 
-0.095 -0.071 0.012 0.090 -0.059 -0.022 0.073 80.800 74.000 0.117 0.576 
-0.085 -0.093 -0.024 0.098 -0.039 -0.049 0.078 87.000 75.800 0.115 0.567 
-0.083 -0.059 0.020 0.073 -0.054 -0.017 0.071 92.200 77.800 0.115 0.547 
-0.093 -0.063 0.027 0.081 -0.061 -0.017 0.071 97.200 80.000 0.115 0.527 
-0.103 -0.071 0.024 0.090 -0.066 -0.020 0.073 100.800 82.400 0.115 0.508 
-0.083 -0.061 0.020 0.073 -0.051 -0.020 0.068 104.400 84.800 0.115 0.488 
-0.093 -0.063 0.027 0.081 -0.061 -0.017 0.061 106.800 87.600 0.112 0.464 
-0.090 -0.071 0.017 0.083 -0.054 -0.024 0.066 109.000 90.400 0.112 0.440 
-0.088 -0.071 0.007 0.085 -0.051 -0.027 0.066 110.400 93.200 0.110 0.415 
-0.083 -0.071 0.012 0.078 -0.046 -0.029 0.071 111.800 96.000 0.110 0.391 
-0.095 -0.083 0.007 0.093 -0.054 -0.034 0.073 113.200 98.800 0.110 0.371 
-0.093 -0.071 0.015 0.085 -0.056 -0.024 0.071 114.800 101.600 0.112 0.352 
-0.085 -0.071 0.007 0.083 -0.049 -0.027 0.078 116.600 104.200 0.112 0.332 
-0.081 -0.076 0.007 0.078 -0.042 -0.034 0.073 118.400 107.000 0.115 0.313 
-0.095 -0.076 0.012 0.090 -0.056 -0.027 0.078 120.800 109.400 0.112 0.308 
-0.083 -0.088 -0.012 0.090 -0.039 -0.046 0.085 123.200 112.000 0.110 0.303 
-0.071 -0.115 -0.046 0.095 -0.012 -0.078 0.098 126.000 114.400 0.107 0.298 
-0.085 -0.085 -0.000 0.085 -0.042 -0.042 0.093 128.800 116.800 0.103 0.293 
-0.076 -0.063 0.010 0.071 -0.044 -0.024 0.088 131.600 119.200 0.103 0.317 
-0.076 -0.076 -0.007 0.081 -0.037 -0.037 0.100 134.600 121.600 0.100 0.342 
-0.066 -0.076 -0.020 0.076 -0.027 -0.042 0.107 137.200 124.000 0.098 0.366 
-0.081 -0.093 -0.020 0.090 -0.034 -0.051 0.117 139.800 126.200 0.095 0.391 
-0.066 -0.085 -0.022 0.078 -0.022 -0.051 0.117 142.000 128.400 0.093 0.449 
-0.046 -0.076 -0.037 0.066 -0.007 -0.051 0.125 144.200 130.600 0.090 0.508 
-0.059 -0.068 -0.017 0.068 -0.024 -0.039 0.122 145.800 132.400 0.088 0.567 
-0.071 -0.103 -0.042 0.093 -0.020 -0.066 0.144 147.200 134.400 0.083 0.625 
-0.061 -0.078 -0.022 0.073 -0.022 -0.046 0.147 148.600 136.200 0.083 0.718 
-0.044 -0.061 -0.029 0.059 -0.012 -0.039 0.144 149.800 138.000 0.083 0.811 
-0.049 -0.085 -0.046 0.073 -0.005 -0.061 0.159 151.000 139.800 0.083 0.904 
-0.039 -0.044 -0.015 0.046 -0.017 -0.024 0.149 152.200 141.600 0.083 0.996 
-0.034 -0.051 -0.020 0.044 -0.007 -0.034 0.161 153.600 143.400 0.083 1.114 
-0.039 -0.063 -0.032 0.056 -0.007 -0.044 0.171 155.000 145.200 0.081 1.231 
-0.022 -0.046 -0.029 0.037 0.002 -0.034 0.164 156.600 146.600 0.081 1.348 
-0.007 -0.039 -0.037 0.027 0.012 -0.034 0.166 158.400 148.200 0.078 1.465 
-0.017 -0.012 -0.000 0.017 -0.010 -0.002 0.156 160.000 149.600 0.076 1.582 
-0.020 -0.012 0.005 0.017 -0.012 -0.002 0.156 161.800 151.000 0.076 1.700 
-0.012 -0.002 0.005 0.010 -0.010 0.005 0.147 163.000 152.200 0.076 1.817 
0.005 0.012 0.005 -0.007 -0.000 0.010 0.134 164.400 153.200 0.073 1.934 
-0.002 0.012 0.017 -0.005 -0.007 0.015 0.122 165.400 154.400 0.071 2.037 
-0.007 0.017 0.022 -0.002 -0.015 0.022 0.120 166.200 155.400 0.071 2.139 
0.029 0.063 0.032 -0.044 -0.002 0.049 0.103 166.600 156.400 0.068 2.242 
0.161 0.090 -0.073 -0.125 0.117 0.010 0.046 167.200 157.400 0.066 2.344 
0.085 0.054 -0.042 -0.063 0.059 0.012 0.046 167.400 158.400 0.061 2.422 
0.073 0.042 -0.037 -0.054 0.054 0.005 0.039 167.800 159.200 0.059 2.501 
0.061 0.042 -0.024 -0.049 0.042 0.012 0.029 168.200 160.000 0.054 2.579 
0.034 0.024 -0.012 -0.027 0.022 0.007 0.020 168.600 160.800 0.051 2.657 
0.020 0.027 -0.000 -0.020 0.007 0.017 0.020 168.800 161.400 0.049 2.750 
0.024 0.010 -0.012 -0.017 0.020 -0.002 0.012 169.000 162.000 0.046 2.842 
0.012 0.042 0.015 -0.020 -0.007 0.037 -0.007 169.200 162.400 0.046 2.935 
0.005 0.046 0.042 -0.024 -0.017 0.044 -0.012 169.400 162.600 0.044 3.028 
-0.005 0.020 0.022 -0.005 -0.015 0.022 -0.005 169.400 162.800 0.039 3.062 
-0.000 0.012 0.010 -0.005 -0.005 0.012 -0.002 169.400 163.000 0.037 3.096 
-0.002 0.032 0.027 -0.010 -0.017 0.034 -0.022 169.200 163.000 0.032 3.131 
-0.005 0.017 0.022 -0.005 -0.012 0.020 -0.027 169.000 163.200 0.029 3.165 
-0.002 0.015 0.010 -0.002 -0.010 0.017 -0.022 168.600 163.000 0.027 3.204 
-0.002 -0.007 -0.010 0.007 0.002 -0.005 -0.024 168.200 162.800 0.027 3.243 
-0.012 0.002 0.007 0.010 -0.012 0.010 -0.022 167.400 162.400 0.024 3.282 
-0.000 -0.000 -0.007 0.005 -0.000 -0.000 -0.027 166.600 162.000 0.022 3.321 
-0.002 0.007 0.002 0.002 -0.005 0.010 -0.027 165.400 161.400 0.020 3.360 
-0.017 0.017 0.024 0.005 -0.024 0.027 -0.032 164.400 160.800 0.020 3.399 
-0.012 0.010 0.017 0.005 -0.017 0.017 -0.027 163.000 159.800 0.017 3.438 
-0.010 0.005 0.010 0.005 -0.012 0.010 -0.027 161.400 158.800 0.017 3.477 
-0.012 0.015 0.022 0.002 -0.020 0.022 -0.032 159.800 157.400 0.017 3.516 
-0.015 0.015 0.020 0.005 -0.022 0.022 -0.034 158.000 156.000 0.015 3.556 
-0.002 0.002 -0.002 0.005 -0.002 0.005 -0.034 156.000 154.400 0.015 3.595 
-0.000 0.007 -0.000 -0.000 -0.002 0.007 -0.032 153.800 152.600 0.015 3.634 
-0.024 -0.007 0.010 0.020 -0.020 0.005 -0.029 151.400 150.600 0.015 3.663 
0.002 -0.015 -0.020 0.007 0.010 -0.015 -0.027 148.800 148.600 0.015 3.692 
0.012 -0.005 -0.017 -0.002 0.015 -0.010 -0.032 145.600 146.400 0.015 3.722 
-0.024 -0.010 0.005 0.022 -0.020 0.002 -0.029 142.600 144.000 0.015 3.751 
-0.012 -0.044 -0.037 0.032 0.010 -0.037 -0.020 139.000 141.400 0.015 3.775 
-0.005 0.022 0.020 -0.005 -0.015 0.024 -0.042 135.600 138.600 0.015 3.800 
-0.010 0.037 0.039 -0.010 -0.027 0.042 -0.044 131.600 135.800 0.015 3.824 
-0.029 0.022 0.044 0.007 -0.039 0.037 -0.037 127.600 132.800 0.017 3.849 
-0.017 -0.017 -0.007 0.022 -0.007 -0.007 -0.024 123.200 130.200 0.017 3.868 
-0.017 -0.027 -0.015 0.024 -0.002 -0.017 -0.015 118.600 127.600 0.017 3.888 
-0.017 -0.000 0.010 0.012 -0.017 0.010 -0.037 113.600 125.600 0.017 3.907 
-0.020 -0.012 0.010 0.015 -0.012 -0.002 -0.029 108.600 123.600 0.017 3.927 
-0.007 0.005 0.012 0.002 -0.010 0.010 -0.029 103.000 122.000 0.017 3.941 
-0.005 0.017 0.022 -0.005 -0.012 0.020 -0.034 97.400 120.400 0.020 3.956 
-0.027 -0.005 0.020 0.017 -0.024 0.010 -0.017 91.400 119.200 0.020 3.971 
-0.022 -0.005 0.012 0.017 -0.020 0.007 -0.020 85.600 118.000 0.022 3.985 
-0.005 0.029 0.034 -0.012 -0.020 0.032 -0.029 79.600 117.000 0.022 3.990 
-0.017 0.017 0.032 0.002 -0.024 0.027 -0.032 73.600 116.000 0.024 3.995 
-0.015 -0.007 0.002 0.015 -0.010 -0.000 -0.029 68.200 115.200 0.024 4.000 
-0.002 0.005 0.007 -0.000 -0.005 0.007 -0.024 62.600 114.400 0.029 4.005 
-0.015 0.007 0.022 0.005 -0.017 0.015 -0.020 57.600 113.400 0.032 4.005 
-0.020 0.015 0.027 0.007 -0.027 0.024 -0.017 52.600 112.600 0.034 4.005 
-0.029 -0.000 0.022 0.020 -0.029 0.015 -0.015 48.400 111.600 0.037 4.005 
-0.012 0.005 0.017 0.005 -0.015 0.012 -0.027 44.000 110.800 0.039 4.005 
-0.032 0.010 0.032 0.017 -0.037 0.027 -0.029 40.200 110.000 0.039 3.990 
-0.020 0.005 0.020 0.010 -0.022 0.015 -0.024 36.200 109.000 0.042 3.976 
-0.022 0.007 0.027 0.010 -0.024 0.020 -0.012 32.600 108.200 0.042 3.961 
-0.037 -0.000 0.034 0.020 -0.037 0.020 -0.012 29.200 107.400 0.044 3.946 
-0.039 0.002 0.037 0.022 -0.039 0.022 -0.015 26.000 106.600 0.044 3.922 
-0.027 0.012 0.034 0.010 -0.032 0.027 -0.012 23.000 105.600 0.046 3.897 
-0.007 0.007 0.012 0.002 -0.010 0.012 -0.020 20.400 104.800 0.049 3.873 
-0.037 -0.000 0.037 0.020 -0.037 0.020 -0.015 18.000 104.000 0.051 3.849 
-0.042 -0.005 0.034 0.024 -0.039 0.017 -0.010 16.000 103.200 0.051 3.824 
-0.020 -0.010 0.007 0.017 -0.015 -0.000 -0.010 14.000 102.400 0.054 3.800 
-0.029 -0.007 0.017 0.022 -0.024 0.007 -0.015 12.400 101.600 0.054 3.775 
-0.032 -0.015 0.020 0.022 -0.024 0.002 -0.012 11.000 100.600 0.059 3.751 
-0.032 -0.032 -0.000 0.032 -0.015 -0.015 -0.002 10.000 99.800 0.059 3.722 
-0.015 -0.002 0.010 0.010 -0.012 0.005 -0.010 8.800 99.000 0.059 3.692 
-0.032 0.015 0.046 0.010 -0.039 0.032 -0.010 8.200 98.200 0.059 3.663 
-0.032 0.017 0.042 0.012 -0.039 0.034 -0.012 7.400 97.600 0.059 3.634 
-0.027 0.022 0.042 0.007 -0.037 0.037 -0.007 7.200 96.800 0.059 3.609 
-0.032 -0.000 0.024 0.020 -0.032 0.017 -0.012 6.800 96.000 0.059 3.585 
-0.037 0.002 0.037 0.020 -0.037 0.022 -0.000 7.000 95.400 0.059 3.560 
-0.017 0.020 0.034 -0.000 -0.027 0.029 -0.005 7.000 94.600 0.059 3.536 
-0.005 0.012 0.020 -0.005 -0.010 0.015 -0.007 7.200 94.000 0.059 3.516 
-0.017 -0.002 0.012 0.012 -0.015 0.007 -0.000 7.400 93.400 0.061 3.497 
-0.024 -0.007 0.010 0.020 -0.020 0.005 -0.002 7.400 92.800 0.061 3.477 
-0.012 -0.017 -0.005 0.015 -0.002 -0.010 0.005 7.600 92.000 0.063 3.458 
-0.022 -0.017 0.002 0.022 -0.012 -0.005 0.005 7.400 91.400 0.063 3.443 
-0.022 -0.007 0.010 0.017 -0.017 0.005 -0.000 7.400 90.800 0.063 3.429 
-0.007 -0.022 -0.010 0.012 0.005 -0.017 0.002 7.000 90.400 0.063 3.414 
-0.007 -0.037 -0.032 0.024 0.012 -0.032 -0.005 6.800 89.800 0.066 3.399 
-0.017 0.010 0.032 0.002 -0.022 0.020 -0.007 6.400 89.200 0.066 3.389 
-0.020 0.015 0.037 0.002 -0.027 0.024 -0.002 6.200 88.800 0.066 3.380 
-0.000 -0.002 -0.002 0.002 0.002 -0.002 -0.005 5.800 88.200 0.066 3.370 
-0.007 -0.012 -0.007 0.012 -0.000 -0.007 -0.002 5.600 87.800 0.066 3.360 
-0.024 -0.015 0.007 0.022 -0.017 -0.002 -0.002 5.600 87.200 0.066 3.350 
-0.005 0.005 0.015 -0.002 -0.007 0.007 -0.005 5.400 86.800 0.066 3.341 
-0.002 0.032 0.039 -0.017 -0.017 0.034 -0.022 5.400 86.400 0.068 3.331 
-0.012 -0.005 0.010 0.007 -0.010 0.002 -0.020 5.600 85.800 0.068 3.321 
-0.005 -0.002 -0.002 0.007 -0.002 -0.000 -0.012 5.800 85.400 0.071 3.306 
0.002 -0.007 -0.007 0.002 0.007 -0.007 -0.010 6.000 85.000 0.073 3.292 
0.002 -0.000 -0.005 -0.000 0.002 -0.000 0.002 6.200 84.600 0.073 3.277 
0.005 0.027 0.022 -0.015 -0.007 0.024 0.010 6.600 84.200 0.078 3.263 
0.020 0.044 0.029 -0.034 -0.002 0.034 0.042 6.800 83.800 0.081 3.243 
0.020 0.071 0.059 -0.049 -0.015 0.061 0.051 7.000 83.400 0.083 3.223 
0.017 0.085 0.066 -0.049 -0.024 0.078 0.073 7.200 83.000 0.085 3.204 
0.015 0.095 0.085 -0.056 -0.032 0.088 0.081 7.400 82.600 0.088 3.184 
0.039 0.117 0.076 -0.076 -0.020 0.098 0.076 7.400 82.200 0.090 3.165 
0.039 0.134 0.093 -0.085 -0.027 0.115 0.046 7.400 81.800 0.093 3.145 
0.037 0.107 0.071 -0.071 -0.017 0.090 0.029 7.400 81.200 0.095 3.126 
0.063 0.127 0.066 -0.095 -0.000 0.095 -0.015 7.400 80.800 0.098 3.106 
0.063 0.137 0.068 -0.098 -0.005 0.105 -0.039 7.400 80.400 0.100 3.082 
0.044 0.132 0.090 -0.088 -0.022 0.110 -0.054 7.200 80.000 0.103 3.057 
0.044 0.107 0.059 -0.073 -0.010 0.085 -0.059 7.200 79.600 0.105 3.033 
0.044 0.073 0.032 -0.059 0.007 0.051 -0.063 7.200 79.200 0.110 3.009 
0.022 0.046 0.034 -0.039 -0.000 0.037 -0.049 7.000 78.800 0.112 2.969 
0.012 0.029 0.020 -0.022 -0.002 0.024 -0.037 7.000 78.400 0.112 2.930 
0.034 0.020 -0.012 -0.027 0.024 0.002 -0.037 6.800 78.000 0.115 2.891 
0.044 0.034 -0.007 -0.039 0.027 0.012 -0.032 6.800 77.600 0.117 2.852 
0.029 0.015 -0.020 -0.020 0.022 -0.000 -0.037 6.600 77.200 0.120 2.833 
0.044 -0.024 -0.068 -0.010 0.056 -0.046 -0.034 6.600 76.800 0.120 2.813 
0.024 -0.015 -0.042 -0.002 0.032 -0.027 -0.029 6.600 76.400 0.122 2.794 
-0.017 -0.015 0.007 0.015 -0.010 -0.005 -0.010 6.600 76.200 0.125 2.774 
-0.037 -0.044 -0.012 0.044 -0.015 -0.024 0.012 6.600 75.800 0.127 2.755 
-0.034 -0.054 -0.027 0.049 -0.007 -0.037 0.007 6.600 75.600 0.127 2.735 
-0.042 -0.061 -0.020 0.051 -0.010 -0.039 0.015 6.600 75.400 0.129 2.716 
-0.042 -0.061 -0.015 0.049 -0.010 -0.039 0.005 6.800 75.000 0.132 2.696 
-0.039 -0.063 -0.020 0.049 -0.007 -0.044 0.007 6.800 75.000 0.134 2.676 
-0.034 -0.068 -0.042 0.056 -0.000 -0.051 0.010 7.000 74.800 0.134 2.657 
-0.037 -0.059 -0.022 0.049 -0.007 -0.039 -0.000 7.200 74.600 0.134 2.637 
-0.044 -0.046 -0.002 0.046 -0.020 -0.024 -0.002 7.400 74.400 0.137 2.618 
-0.027 -0.029 -0.002 0.029 -0.012 -0.015 -0.000 7.600 74.200 0.137 2.598 
-0.029 -0.034 -0.002 0.032 -0.012 -0.020 0.005 8.000 73.800 0.139 2.579 
-0.051 -0.051 -0.002 0.054 -0.024 -0.024 0.010 8.200 73.600 0.142 2.559 
-0.034 -0.059 -0.024 0.046 -0.005 -0.042 0.010 8.600 73.400 0.144 2.540 
-0.032 -0.078 -0.054 0.059 0.007 -0.061 0.020 9.000 73.200 0.144 2.515 
-0.042 -0.059 -0.020 0.051 -0.012 -0.037 0.007 9.400 73.000 0.144 2.491 
-0.046 -0.103 -0.059 0.076 0.005 -0.078 0.022 9.600 72.800 0.144 2.466 
-0.027 -0.066 -0.037 0.046 0.007 -0.051 0.012 9.800 72.600 0.144 2.442 
-0.032 -0.015 0.012 0.027 -0.024 0.002 0.005 9.800 72.600 0.144 2.422 
-0.042 -0.027 0.012 0.037 -0.027 -0.005 0.029 10.000 72.400 0.147 2.403 
-0.049 -0.098 -0.054 0.076 -0.000 -0.073 0.054 10.000 72.200 0.147 2.383 
-0.039 -0.107 -0.071 0.076 0.015 -0.088 0.054 10.000 71.800 0.151 2.364 
0.010 -0.088 -0.103 0.042 0.054 -0.093 0.024 10.000 71.600 0.151 2.344 
