I II III aVR aVL aVF V1 AO SPO2
-0.125 -0.122 0.007 0.122 -0.063 -0.059 0.122 113.800 2.569 
-0.134 -0.142 -0.000 0.134 -0.063 -0.073 0.132 115.000 2.559 
-0.137 -0.139 -0.000 0.137 -0.066 -0.071 0.134 116.000 2.549 
-0.142 -0.142 0.002 0.142 -0.071 -0.071 0.137 117.200 2.540 
-0.137 -0.129 0.015 0.129 -0.071 -0.061 0.147 118.000 2.530 
-0.134 -0.122 0.020 0.125 -0.073 -0.054 0.142 119.000 2.520 
-0.134 -0.127 0.010 0.129 -0.071 -0.059 0.142 120.000 2.505 
-0.132 -0.117 0.012 0.127 -0.073 -0.051 0.132 120.800 2.491 
-0.122 -0.117 0.015 0.115 -0.063 -0.056 0.127 121.800 2.476 
-0.125 -0.110 0.020 0.115 -0.068 -0.046 0.112 122.600 2.462 
-0.125 -0.105 0.020 0.115 -0.071 -0.042 0.117 123.400 2.457 
-0.110 -0.098 0.015 0.103 -0.061 -0.042 0.105 124.400 2.452 
-0.110 -0.095 0.017 0.103 -0.061 -0.039 0.095 124.800 2.447 
-0.090 -0.085 0.012 0.085 -0.046 -0.039 0.076 125.400 2.442 
-0.076 -0.071 0.010 0.071 -0.039 -0.032 0.066 125.800 2.437 
-0.063 -0.054 0.015 0.056 -0.037 -0.022 0.061 126.200 2.432 
-0.051 -0.056 0.005 0.049 -0.022 -0.029 0.054 126.600 2.427 
-0.049 -0.046 0.005 0.046 -0.024 -0.022 0.044 126.800 2.422 
-0.042 -0.039 0.007 0.039 -0.022 -0.017 0.027 127.000 2.418 
-0.032 -0.042 -0.000 0.032 -0.010 -0.024 0.027 127.200 2.413 
-0.022 -0.032 -0.007 0.027 -0.005 -0.020 0.022 127.000 2.408 
-0.015 -0.029 -0.010 0.020 -0.000 -0.022 0.015 126.800 2.403 
-0.007 -0.029 -0.015 0.015 0.007 -0.024 0.015 126.400 2.398 
-0.002 -0.027 -0.020 0.012 0.012 -0.024 0.007 126.000 2.393 
0.005 -0.024 -0.024 0.007 0.017 -0.027 -0.000 125.400 2.388 
0.007 -0.022 -0.020 0.002 0.020 -0.024 0.002 124.800 2.383 
0.010 -0.010 -0.015 -0.002 0.015 -0.015 -0.007 124.200 2.374 
0.002 -0.015 -0.012 0.005 0.010 -0.015 -0.005 123.400 2.364 
