I II III aVR aVL aVF V1 V2 AO SPO2 
-0.012 -0.078 -0.042 0.034 0.027 -0.071 0.066 0.027 104.400 1.973 
-0.010 -0.083 -0.054 0.037 0.032 -0.078 0.059 0.029 103.800 1.949 
0.005 -0.076 -0.051 0.022 0.044 -0.078 0.044 0.022 103.000 1.924 
-0.000 -0.083 -0.061 0.032 0.042 -0.083 0.029 0.024 102.200 1.900 
-0.007 -0.093 -0.063 0.039 0.039 -0.088 0.022 0.032 101.200 1.875 
-0.007 -0.107 -0.073 0.044 0.046 -0.103 0.015 0.037 99.800 1.846 
0.005 -0.095 -0.076 0.034 0.054 -0.098 0.005 0.027 98.600 1.817 
0.007 -0.083 -0.068 0.027 0.049 -0.085 0.002 0.022 97.000 1.788 
0.002 -0.093 -0.081 0.039 0.049 -0.093 -0.005 0.027 95.600 1.758 
0.010 -0.098 -0.085 0.034 0.059 -0.103 -0.010 0.027 94.000 1.729 
0.015 -0.103 -0.098 0.034 0.066 -0.110 -0.017 0.027 92.400 1.700 
0.017 -0.107 -0.105 0.037 0.071 -0.115 -0.015 0.027 90.600 1.670 
0.005 -0.117 -0.100 0.046 0.063 -0.120 -0.017 0.034 88.800 1.641 
0.012 -0.112 -0.107 0.042 0.068 -0.117 -0.020 0.032 87.200 1.612 
0.010 -0.115 -0.103 0.042 0.068 -0.120 -0.022 0.032 85.400 1.582 
0.010 -0.117 -0.110 0.046 0.068 -0.122 -0.024 0.034 84.200 1.553 
0.007 -0.112 -0.103 0.044 0.063 -0.115 -0.024 0.032 82.800 1.524 
0.010 -0.117 -0.110 0.046 0.068 -0.122 -0.027 0.034 82.400 1.504 
0.010 -0.120 -0.105 0.044 0.071 -0.125 -0.034 0.034 82.000 1.485 
0.012 -0.120 -0.107 0.042 0.073 -0.125 -0.034 0.034 82.600 1.465 
0.012 -0.110 -0.100 0.039 0.068 -0.115 -0.046 0.029 83.400 1.446 
0.012 -0.103 -0.095 0.037 0.063 -0.107 -0.042 0.027 84.200 1.431 
0.017 -0.107 -0.107 0.037 0.071 -0.115 -0.049 0.027 85.200 1.416 
0.098 0.051 -0.027 -0.083 0.073 0.002 -0.122 -0.051 86.000 1.402 
-0.005 -0.193 -0.161 0.085 0.093 -0.190 -0.015 0.063 86.800 1.387 
-0.010 -0.139 -0.105 0.063 0.061 -0.134 -0.032 0.046 87.200 1.392 
-0.012 -0.127 -0.090 0.059 0.051 -0.120 -0.054 0.044 87.800 1.397 
-0.010 -0.122 -0.100 0.061 0.051 -0.117 -0.054 0.042 88.000 1.402 
-0.002 -0.112 -0.088 0.046 0.054 -0.110 -0.061 0.037 88.200 1.407 
-0.002 -0.100 -0.073 0.039 0.049 -0.098 -0.073 0.032 88.000 1.431 
0.022 -0.085 -0.081 0.020 0.066 -0.095 -0.093 0.020 87.600 1.455 
0.005 -0.098 -0.078 0.034 0.054 -0.100 -0.100 0.029 87.000 1.480 
-0.005 -0.076 -0.051 0.032 0.034 -0.073 -0.100 0.024 86.200 1.504 
-0.002 -0.071 -0.042 0.024 0.034 -0.068 -0.112 0.022 85.200 1.548 
-0.002 -0.056 -0.037 0.022 0.027 -0.054 -0.105 0.017 84.000 1.592 
-0.000 -0.039 -0.022 0.012 0.020 -0.039 -0.107 0.010 82.800 1.636 
-0.000 -0.037 -0.012 0.007 0.020 -0.037 -0.120 0.010 81.600 1.680 
0.007 -0.029 -0.010 -0.002 0.022 -0.032 -0.137 0.005 80.400 1.734 
0.012 -0.037 -0.029 0.002 0.032 -0.042 -0.129 0.005 79.200 1.788 
0.012 -0.037 -0.022 -0.000 0.032 -0.042 -0.122 0.005 78.200 1.841 
0.012 -0.020 -0.010 -0.007 0.022 -0.024 -0.117 -0.000 77.200 1.895 
0.012 -0.002 0.005 -0.015 0.015 -0.007 -0.125 -0.005 76.600 2.012 
0.027 -0.002 -0.007 -0.022 0.029 -0.015 -0.132 -0.010 76.000 2.129 
0.029 -0.017 -0.020 -0.020 0.039 -0.032 -0.142 -0.007 75.800 2.247 
0.027 -0.020 -0.024 -0.015 0.037 -0.032 -0.147 -0.005 75.400 2.364 
0.051 -0.005 -0.032 -0.034 0.054 -0.029 -0.144 -0.017 75.400 2.418 
0.054 0.005 -0.027 -0.039 0.051 -0.022 -0.142 -0.022 75.400 2.471 
0.088 0.022 -0.039 -0.068 0.078 -0.022 -0.137 -0.039 75.400 2.525 
0.078 -0.002 -0.056 -0.049 0.081 -0.042 -0.117 -0.027 75.600 2.579 
0.081 -0.029 -0.085 -0.037 0.095 -0.068 -0.095 -0.020 75.800 2.623 
0.059 -0.051 -0.088 -0.015 0.085 -0.081 -0.068 -0.005 75.800 2.667 
0.044 -0.054 -0.083 -0.002 0.071 -0.076 -0.051 -0.000 75.800 2.711 
0.037 -0.051 -0.066 -0.002 0.063 -0.068 -0.044 0.002 75.800 2.755 
0.012 -0.076 -0.066 0.022 0.051 -0.081 -0.037 0.020 75.600 2.794 
-0.000 -0.078 -0.056 0.029 0.039 -0.078 -0.022 0.024 75.400 2.833 
-0.000 -0.081 -0.056 0.029 0.042 -0.081 -0.024 0.024 75.000 2.872 
-0.012 -0.093 -0.061 0.044 0.034 -0.085 -0.022 0.032 74.600 2.911 
-0.017 -0.110 -0.068 0.051 0.039 -0.100 -0.012 0.039 74.000 2.945 
-0.010 -0.122 -0.088 0.054 0.051 -0.117 -0.002 0.042 73.400 2.979 
-0.007 -0.129 -0.100 0.059 0.059 -0.125 0.002 0.044 73.000 3.013 
-0.012 -0.129 -0.095 0.061 0.054 -0.122 -0.007 0.044 72.400 3.048 
-0.010 -0.129 -0.098 0.059 0.056 -0.125 -0.002 0.044 71.800 3.077 
-0.010 -0.139 -0.107 0.063 0.061 -0.134 -0.002 0.046 71.200 3.106 
-0.010 -0.147 -0.120 0.071 0.063 -0.142 -0.000 0.049 70.800 3.136 
-0.005 -0.147 -0.122 0.066 0.068 -0.144 -0.002 0.049 70.200 3.165 
-0.007 -0.156 -0.132 0.073 0.071 -0.151 -0.002 0.051 69.800 3.189 
-0.007 -0.190 -0.164 0.090 0.088 -0.186 0.044 0.063 69.400 3.214 
0.012 -0.105 -0.100 0.039 0.066 -0.110 -0.029 0.029 69.200 3.238 
0.010 -0.125 -0.112 0.046 0.073 -0.129 -0.022 0.037 69.000 3.263 
0.007 -0.159 -0.139 0.063 0.088 -0.161 -0.005 0.049 69.000 3.282 
0.005 -0.159 -0.139 0.066 0.085 -0.161 -0.015 0.049 69.000 3.302 
0.007 -0.156 -0.142 0.063 0.085 -0.159 -0.022 0.046 69.000 3.321 
0.017 -0.161 -0.159 0.063 0.098 -0.168 -0.029 0.046 69.000 3.341 
0.034 -0.203 -0.212 0.073 0.137 -0.220 -0.017 0.054 69.000 3.350 
0.049 -0.276 -0.305 0.105 0.188 -0.300 -0.005 0.073 69.000 3.360 
0.068 -0.376 -0.422 0.144 0.256 -0.410 0.024 0.100 69.000 3.370 
0.071 -0.425 -0.466 0.164 0.283 -0.459 0.049 0.115 68.800 3.380 
0.066 -0.462 -0.501 0.186 0.298 -0.493 0.071 0.129 68.800 3.375 
0.068 -0.496 -0.542 0.203 0.317 -0.530 0.073 0.139 68.600 3.370 
0.083 -0.505 -0.564 0.200 0.337 -0.547 0.063 0.139 68.400 3.365 
0.115 -0.508 -0.601 0.186 0.369 -0.564 0.051 0.129 68.200 3.360 
