I II III aVR aVL aVF V1 AO Resp SPO2
0.071 0.015 -0.066 -0.037 0.063 -0.020 -0.083 88.200 0.222 2.598 
0.078 0.037 -0.049 -0.054 0.061 -0.002 -0.088 88.400 0.217 2.608 
0.076 0.044 -0.032 -0.059 0.054 0.007 -0.078 88.800 0.215 2.618 
0.076 0.051 -0.022 -0.063 0.051 0.015 -0.063 89.000 0.212 2.628 
0.073 0.066 -0.007 -0.068 0.042 0.029 -0.054 89.200 0.208 2.637 
0.073 0.078 -0.000 -0.073 0.034 0.042 -0.049 89.200 0.205 2.637 
0.071 0.078 0.005 -0.073 0.032 0.044 -0.042 89.400 0.203 2.637 
0.063 0.081 0.017 -0.071 0.024 0.049 -0.037 89.400 0.200 2.637 
0.051 0.081 0.029 -0.066 0.012 0.056 -0.024 89.400 0.195 2.637 
0.042 0.085 0.044 -0.063 -0.000 0.066 -0.017 89.400 0.193 2.632 
0.044 0.095 0.046 -0.066 -0.002 0.073 -0.010 89.200 0.190 2.628 
0.044 0.093 0.046 -0.066 -0.002 0.071 -0.007 89.200 0.188 2.623 
0.034 0.083 0.044 -0.056 -0.007 0.066 -0.005 89.200 0.183 2.618 
0.034 0.085 0.046 -0.056 -0.007 0.068 0.007 89.000 0.181 2.613 
0.027 0.068 0.039 -0.046 -0.007 0.056 0.005 88.800 0.176 2.608 
0.029 0.059 0.034 -0.046 -0.000 0.044 0.010 88.800 0.173 2.603 
0.015 0.061 0.054 -0.042 -0.015 0.054 0.017 88.600 0.168 2.598 
0.020 0.059 0.039 -0.039 -0.010 0.049 0.010 88.400 -0.005 2.579 
0.024 0.063 0.032 -0.039 -0.007 0.051 0.007 88.000 -0.007 2.559 
0.015 0.059 0.032 -0.029 -0.015 0.051 0.020 87.800 -0.183 2.540 
0.005 0.044 0.034 -0.022 -0.017 0.042 0.022 87.400 -0.188 2.520 
0.022 0.063 0.042 -0.042 -0.010 0.054 0.017 87.000 -0.020 2.496 
0.002 0.054 0.044 -0.024 -0.024 0.054 0.015 86.600 -0.024 2.471 
-0.000 0.056 0.051 -0.024 -0.027 0.056 0.012 86.000 0.142 2.447 
0.005 0.054 0.046 -0.027 -0.022 0.051 0.012 85.600 0.137 2.422 
0.022 0.054 0.024 -0.034 -0.005 0.044 0.005 85.200 0.134 2.388 
0.012 0.066 0.049 -0.037 -0.020 0.061 0.012 84.600 0.132 2.354 
0.010 0.073 0.059 -0.039 -0.027 0.068 0.020 84.200 0.129 2.320 
0.007 0.085 0.068 -0.042 -0.034 0.083 0.027 83.800 0.125 2.286 
0.029 0.103 0.071 -0.063 -0.022 0.088 0.042 83.400 0.122 2.252 
