I II III aVR aVL aVF V1 AO SPO2
-0.002 -0.225 -0.139 0.073 0.110 -0.222 0.083 5.600 2.466 
-0.000 -0.232 -0.142 0.071 0.117 -0.232 0.085 5.600 2.462 
0.005 -0.227 -0.137 0.063 0.120 -0.230 0.081 5.600 2.462 
0.010 -0.217 -0.142 0.061 0.120 -0.222 0.081 5.400 2.462 
0.012 -0.215 -0.142 0.059 0.120 -0.220 0.081 5.400 2.462 
0.002 -0.205 -0.122 0.059 0.105 -0.205 0.081 5.200 2.462 
0.022 -0.200 -0.134 0.046 0.122 -0.210 0.073 5.000 2.466 
0.032 -0.205 -0.151 0.044 0.134 -0.220 0.073 5.000 2.471 
0.027 -0.200 -0.139 0.044 0.127 -0.212 0.078 4.800 2.476 
0.032 -0.195 -0.137 0.037 0.129 -0.210 0.076 4.600 2.481 
0.037 -0.171 -0.117 0.022 0.122 -0.188 0.063 4.600 2.486 
0.039 -0.154 -0.107 0.015 0.117 -0.173 0.066 4.400 2.491 
0.044 -0.144 -0.105 0.010 0.117 -0.166 0.063 4.400 2.496 
0.056 -0.129 -0.095 -0.007 0.122 -0.156 0.056 4.200 2.501 
0.059 -0.110 -0.078 -0.020 0.115 -0.139 0.049 4.200 2.510 
0.068 -0.093 -0.081 -0.027 0.115 -0.127 0.046 4.200 2.520 
0.073 -0.088 -0.088 -0.029 0.117 -0.125 0.037 4.200 2.530 
0.081 -0.085 -0.083 -0.039 0.125 -0.125 0.044 4.400 2.540 
0.088 -0.083 -0.085 -0.044 0.129 -0.127 0.037 4.400 2.545 
0.083 -0.066 -0.061 -0.051 0.117 -0.107 0.034 4.400 2.549 
0.098 -0.044 -0.051 -0.071 0.120 -0.093 0.027 4.400 2.554 
0.117 -0.022 -0.049 -0.093 0.129 -0.081 0.017 4.600 2.559 
0.112 -0.027 -0.056 -0.083 0.127 -0.083 0.015 4.600 2.559 
0.110 -0.024 -0.049 -0.085 0.122 -0.078 0.012 4.800 2.559 
0.132 -0.000 -0.042 -0.110 0.132 -0.066 0.007 4.800 2.559 
0.127 0.007 -0.034 -0.110 0.125 -0.056 0.010 5.000 2.559 
0.117 0.017 -0.007 -0.112 0.110 -0.042 0.010 5.000 2.559 
0.127 0.049 0.010 -0.132 0.103 -0.015 -0.000 5.000 2.559 
0.144 0.068 0.007 -0.147 0.110 -0.002 -0.010 5.000 2.559 
