I II III aVR aVL aVF V1 V2 LV AO Resp SPO2
-0.015 0.005 -0.002 0.017 -0.017 0.012 -0.071 -0.000 56.400 77.000 0.364 2.208 
-0.020 0.005 0.002 0.020 -0.022 0.015 -0.071 0.002 53.000 76.600 0.361 2.198 
-0.012 0.005 -0.002 0.015 -0.015 0.012 -0.071 -0.000 49.600 76.400 0.357 2.188 
0.002 0.020 -0.002 -0.000 -0.007 0.020 -0.059 -0.010 46.200 76.200 0.354 2.178 
0.024 0.042 -0.005 -0.022 0.005 0.029 -0.051 -0.024 42.800 76.000 0.352 2.168 
0.034 0.039 -0.012 -0.027 0.015 0.022 -0.049 -0.027 39.400 75.800 0.349 2.154 
0.022 0.032 -0.010 -0.017 0.007 0.022 -0.049 -0.020 36.000 75.600 0.347 2.139 
0.012 0.020 -0.012 -0.005 0.002 0.015 -0.039 -0.012 32.800 75.200 0.344 2.125 
-0.002 0.020 -0.002 0.005 -0.012 0.022 -0.032 -0.007 29.600 75.000 0.339 2.110 
-0.007 0.015 -0.000 0.007 -0.015 0.020 -0.024 -0.005 26.800 74.800 0.339 2.100 
-0.017 -0.000 -0.005 0.020 -0.017 0.010 -0.027 0.002 24.000 74.400 0.339 2.090 
-0.022 -0.005 -0.005 0.024 -0.020 0.007 -0.017 0.007 21.400 74.200 0.339 2.081 
-0.020 -0.000 -0.002 0.022 -0.020 0.010 -0.010 0.005 19.000 74.000 0.337 2.071 
-0.024 -0.005 -0.005 0.027 -0.022 0.007 -0.010 0.007 17.000 73.800 0.332 2.051 
-0.034 -0.012 -0.002 0.037 -0.027 0.005 -0.007 0.012 15.000 73.600 0.330 2.032 
-0.020 -0.002 -0.012 0.027 -0.017 0.007 -0.002 0.005 13.400 73.400 0.325 2.012 
-0.015 -0.002 -0.012 0.022 -0.012 0.005 -0.002 0.002 12.000 73.200 0.322 1.993 
-0.015 -0.005 -0.012 0.022 -0.012 0.002 -0.007 0.005 10.800 73.000 0.320 1.978 
-0.027 -0.015 -0.012 0.034 -0.020 -0.000 -0.000 0.012 9.800 72.600 0.317 1.963 
-0.022 -0.015 -0.012 0.029 -0.015 -0.002 0.002 0.010 9.200 72.400 0.315 1.949 
-0.015 0.002 -0.002 0.017 -0.015 0.010 -0.007 0.002 8.600 72.000 0.313 1.934 
-0.017 -0.002 -0.005 0.020 -0.015 0.007 -0.000 0.005 8.200 71.800 0.308 1.919 
-0.034 -0.022 -0.015 0.042 -0.022 -0.005 -0.002 0.017 8.000 71.400 0.305 1.905 
-0.032 -0.017 -0.007 0.037 -0.022 -0.000 -0.000 0.015 8.000 71.000 0.300 1.890 
-0.015 -0.015 -0.022 0.027 -0.007 -0.007 0.002 0.007 8.000 70.800 0.298 1.875 
-0.020 -0.012 -0.017 0.029 -0.012 -0.002 0.002 0.007 8.000 70.400 0.295 1.861 
-0.027 -0.012 -0.007 0.032 -0.020 0.002 -0.002 0.010 8.200 70.000 0.295 1.846 
-0.032 -0.012 -0.002 0.034 -0.024 0.005 -0.000 0.012 8.400 69.600 0.295 1.832 
-0.022 -0.005 -0.002 0.024 -0.020 0.007 -0.000 0.007 8.800 69.000 0.293 1.817 
-0.024 -0.002 -0.005 0.027 -0.022 0.010 -0.002 0.007 9.200 68.600 0.291 1.812 
-0.022 -0.020 -0.012 0.029 -0.012 -0.007 0.010 0.012 9.600 68.200 0.288 1.807 
-0.015 -0.024 -0.034 0.032 -0.002 -0.017 0.010 0.010 10.000 67.800 0.288 1.802 
