I II III aVR aVL aVF V2 AO LV SPO2
0.022 0.022 -0.015 -0.015 0.012 0.012 -0.017 45.600 19.200 3.985 
-0.010 -0.007 -0.010 0.015 -0.005 -0.002 0.002 45.600 19.600 4.024 
-0.034 -0.005 0.012 0.029 -0.032 0.012 0.010 45.600 20.200 4.063 
-0.012 0.017 0.015 0.005 -0.020 0.024 -0.005 45.400 21.200 4.103 
-0.000 0.010 -0.010 0.005 -0.005 0.010 -0.005 45.400 22.200 4.132 
-0.029 -0.010 -0.000 0.029 -0.024 0.005 0.010 45.400 23.800 4.161 
-0.039 -0.002 0.015 0.032 -0.037 0.017 0.012 45.200 25.400 4.190 
-0.010 0.012 0.002 0.010 -0.015 0.017 -0.002 45.200 27.600 4.220 
-0.007 -0.002 -0.015 0.015 -0.005 0.002 -0.000 45.200 30.000 4.234 
-0.039 -0.020 0.002 0.039 -0.029 -0.000 0.017 45.000 32.800 4.249 
-0.034 -0.005 0.010 0.029 -0.032 0.012 0.010 45.000 35.800 4.264 
-0.010 0.007 0.002 0.010 -0.012 0.012 -0.002 45.000 39.000 4.278 
-0.015 -0.012 -0.020 0.024 -0.007 -0.005 0.007 45.000 42.600 4.278 
-0.039 -0.022 -0.000 0.039 -0.027 -0.002 0.017 44.800 46.400 4.278 
-0.024 -0.002 0.005 0.022 -0.022 0.010 0.007 44.800 50.400 4.278 
-0.005 -0.002 -0.015 0.012 -0.002 -0.000 -0.000 44.800 54.400 4.278 
-0.022 -0.027 -0.022 0.034 -0.007 -0.015 0.015 45.000 58.600 4.239 
-0.037 -0.027 -0.000 0.037 -0.022 -0.007 0.020 45.000 62.800 4.200 
-0.024 -0.010 0.002 0.024 -0.020 0.002 0.010 45.200 66.800 4.161 
-0.020 -0.015 -0.012 0.027 -0.012 -0.005 0.010 45.400 70.800 4.122 
-0.042 -0.034 -0.010 0.046 -0.024 -0.012 0.022 45.800 74.800 4.088 
-0.049 -0.024 0.010 0.044 -0.037 -0.000 0.022 46.200 78.800 4.054 
-0.027 -0.010 0.002 0.027 -0.022 0.005 0.010 46.600 82.400 4.020 
-0.029 -0.022 -0.010 0.034 -0.017 -0.007 0.015 47.200 86.000 3.985 
-0.046 -0.037 -0.000 0.046 -0.027 -0.012 0.024 48.000 89.400 3.951 
-0.044 -0.020 0.002 0.044 -0.034 0.002 0.020 48.800 92.800 3.917 
-0.022 -0.017 -0.010 0.027 -0.012 -0.005 0.010 49.600 96.000 3.883 
-0.039 -0.032 -0.012 0.046 -0.022 -0.012 0.022 50.600 99.000 3.849 
-0.059 -0.037 0.002 0.059 -0.039 -0.007 0.029 51.600 102.000 3.810 
-0.037 -0.020 0.007 0.034 -0.027 -0.000 0.017 52.800 104.800 3.770 
-0.024 -0.022 -0.010 0.029 -0.012 -0.010 0.012 54.000 107.600 3.731 
-0.056 -0.042 -0.005 0.059 -0.034 -0.012 0.029 55.400 110.200 3.692 
-0.063 -0.034 0.015 0.056 -0.046 -0.002 0.029 56.600 112.800 3.658 
-0.044 -0.022 0.007 0.042 -0.032 -0.000 0.020 58.000 115.400 3.624 
-0.044 -0.029 -0.000 0.044 -0.029 -0.007 0.022 59.400 118.000 3.590 
-0.073 -0.042 0.015 0.066 -0.051 -0.005 0.037 60.600 120.400 3.556 
-0.071 -0.032 0.024 0.059 -0.054 0.005 0.032 61.800 122.600 3.526 
-0.051 -0.022 0.015 0.044 -0.039 0.005 0.022 63.000 124.800 3.497 
-0.066 -0.042 0.007 0.063 -0.044 -0.007 0.034 64.200 126.800 3.468 
-0.098 -0.046 0.032 0.083 -0.073 0.002 0.046 65.200 128.800 3.438 
-0.076 -0.024 0.034 0.059 -0.063 0.015 0.032 66.200 130.600 3.414 
-0.051 -0.022 0.012 0.046 -0.039 0.005 0.022 67.200 132.200 3.389 
-0.066 -0.044 0.007 0.063 -0.044 -0.010 0.034 68.200 133.600 3.365 
-0.090 -0.044 0.032 0.076 -0.068 0.002 0.042 69.000 135.000 3.341 
-0.063 -0.020 0.027 0.051 -0.054 0.012 0.024 70.000 136.200 3.326 
-0.049 -0.017 0.012 0.044 -0.039 0.007 0.020 70.800 137.400 3.311 
-0.073 -0.042 0.020 0.063 -0.051 -0.005 0.037 71.600 138.400 3.297 
-0.090 -0.032 0.042 0.071 -0.073 0.015 0.039 72.400 139.400 3.282 
-0.059 -0.012 0.034 0.042 -0.051 0.017 0.022 73.200 140.400 3.272 
-0.059 -0.027 0.020 0.049 -0.044 0.002 0.027 74.200 141.200 3.263 
-0.098 -0.042 0.037 0.081 -0.076 0.007 0.044 75.200 142.000 3.253 
-0.098 -0.027 0.051 0.073 -0.083 0.022 0.039 76.200 142.600 3.243 
-0.063 -0.007 0.037 0.046 -0.059 0.024 0.022 77.200 143.400 3.228 
-0.071 -0.029 0.029 0.056 -0.056 0.007 0.032 78.400 143.800 3.214 
-0.103 -0.039 0.044 0.081 -0.083 0.012 0.044 79.600 144.400 3.199 
-0.093 -0.020 0.059 0.063 -0.083 0.027 0.034 80.800 144.800 3.184 
-0.071 -0.017 0.039 0.051 -0.061 0.020 0.027 82.200 145.000 3.175 
-0.093 -0.039 0.044 0.071 -0.073 0.007 0.042 83.400 145.400 3.165 
-0.132 -0.044 0.071 0.098 -0.110 0.022 0.056 84.800 145.600 3.155 
-0.117 -0.020 0.078 0.078 -0.107 0.039 0.044 86.200 145.600 3.145 
-0.105 -0.027 0.063 0.073 -0.090 0.027 0.042 87.600 145.600 3.136 
-0.139 -0.049 0.078 0.100 -0.115 0.022 0.061 89.000 145.400 3.126 
-0.164 -0.044 0.100 0.115 -0.142 0.039 0.066 90.400 145.200 3.116 
-0.147 -0.032 0.100 0.098 -0.129 0.042 0.056 91.800 144.800 3.106 
-0.144 -0.039 0.083 0.103 -0.125 0.034 0.059 93.200 144.400 3.092 
-0.176 -0.056 0.098 0.127 -0.147 0.032 0.076 94.400 143.800 3.077 
-0.186 -0.044 0.120 0.127 -0.164 0.049 0.073 95.600 143.200 3.062 
-0.159 -0.032 0.107 0.105 -0.142 0.049 0.061 96.600 142.400 3.048 
-0.171 -0.054 0.100 0.122 -0.144 0.032 0.073 97.800 141.400 3.038 
-0.208 -0.063 0.129 0.144 -0.176 0.042 0.088 98.600 140.400 3.028 
-0.208 -0.049 0.139 0.139 -0.183 0.056 0.083 99.600 139.200 3.018 
-0.183 -0.042 0.122 0.122 -0.161 0.051 0.073 100.400 137.800 3.009 
-0.193 -0.059 0.110 0.139 -0.164 0.039 0.081 101.200 136.400 2.994 
-0.205 -0.066 0.127 0.142 -0.171 0.037 0.088 101.800 134.800 2.979 
-0.188 -0.046 0.122 0.127 -0.164 0.049 0.076 102.400 133.000 2.965 
-0.166 -0.049 0.093 0.120 -0.142 0.034 0.068 102.800 131.000 2.950 
-0.176 -0.068 0.085 0.134 -0.142 0.020 0.078 103.200 128.800 2.940 
-0.181 -0.061 0.098 0.132 -0.149 0.029 0.078 103.600 126.600 2.930 
-0.144 -0.049 0.073 0.107 -0.120 0.024 0.061 104.000 124.200 2.921 
-0.125 -0.059 0.046 0.103 -0.095 0.005 0.059 104.200 121.800 2.911 
-0.134 -0.063 0.042 0.115 -0.103 0.005 0.063 104.200 119.200 2.896 
-0.115 -0.046 0.044 0.093 -0.090 0.012 0.051 104.200 116.600 2.882 
-0.071 -0.029 0.022 0.061 -0.056 0.007 0.032 104.200 114.000 2.867 
-0.061 -0.037 -0.002 0.063 -0.042 -0.005 0.029 104.000 111.400 2.852 
-0.063 -0.037 0.005 0.061 -0.044 -0.005 0.032 103.800 108.800 2.842 
-0.034 -0.010 -0.000 0.034 -0.029 0.007 0.012 103.600 106.200 2.833 
0.005 0.002 -0.024 0.007 0.005 -0.000 -0.005 103.200 103.600 2.823 
0.010 -0.007 -0.034 0.007 0.015 -0.012 -0.002 102.600 101.000 2.813 
-0.000 -0.000 -0.024 0.012 -0.000 -0.000 -0.002 102.000 98.400 2.803 
0.032 0.027 -0.022 -0.020 0.020 0.012 -0.022 101.400 96.000 2.794 
0.051 0.027 -0.039 -0.032 0.039 0.002 -0.029 100.600 93.600 2.784 
0.034 0.012 -0.039 -0.015 0.029 -0.005 -0.017 99.800 91.200 2.774 
0.027 0.020 -0.020 -0.017 0.017 0.007 -0.017 99.000 89.000 2.759 
0.056 0.042 -0.029 -0.042 0.037 0.015 -0.034 98.000 86.800 2.745 
0.066 0.032 -0.051 -0.039 0.051 -0.000 -0.034 97.000 84.400 2.730 
0.039 0.015 -0.044 -0.017 0.032 -0.005 -0.020 95.800 82.000 2.716 
0.049 0.032 -0.034 -0.032 0.034 0.007 -0.029 94.800 79.600 2.706 
0.083 0.039 -0.061 -0.051 0.063 -0.002 -0.044 93.600 76.800 2.696 
0.078 0.022 -0.078 -0.039 0.068 -0.017 -0.037 92.400 74.200 2.686 
0.056 0.010 -0.061 -0.024 0.051 -0.017 -0.024 91.200 71.200 2.676 
0.063 0.027 -0.056 -0.034 0.051 -0.005 -0.032 90.200 68.000 2.667 
0.083 0.027 -0.071 -0.046 0.071 -0.015 -0.039 89.000 64.800 2.657 
0.059 0.002 -0.071 -0.022 0.059 -0.027 -0.022 88.000 61.600 2.647 
0.029 -0.005 -0.056 -0.000 0.032 -0.020 -0.010 86.800 58.200 2.637 
0.061 0.020 -0.063 -0.029 0.051 -0.010 -0.029 85.800 55.000 2.623 
0.076 0.007 -0.083 -0.034 0.073 -0.029 -0.029 85.000 51.600 2.608 
0.049 -0.015 -0.081 -0.007 0.056 -0.039 -0.015 84.000 48.200 2.593 
0.039 -0.002 -0.061 -0.007 0.042 -0.022 -0.015 83.200 45.000 2.579 
0.059 0.007 -0.066 -0.024 0.056 -0.022 -0.024 82.600 41.800 2.559 
0.059 0.002 -0.078 -0.020 0.059 -0.027 -0.022 81.800 38.800 2.540 
0.027 -0.015 -0.059 0.002 0.034 -0.027 -0.007 81.400 36.000 2.520 
0.022 -0.000 -0.042 -0.000 0.022 -0.010 -0.010 80.800 33.400 2.501 
0.051 0.012 -0.056 -0.022 0.046 -0.012 -0.024 80.400 31.200 2.491 
0.042 -0.007 -0.063 -0.010 0.046 -0.027 -0.015 80.000 29.200 2.481 
